===2023-06-14 08:38:14===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[296,888,201,604,137,411,64,192,63,189,43,129,29,87,]
client_nums=[2,2,2,2,2,2,2,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.1947 | Train Acc: 0.1318
 Best site-White_utk                 | Epoch:3 | Val Acc: 0.1841
 Best site-East_Asian                | Epoch:3 | Val Acc: 0.4030
 Best site-East_Asian                | Epoch:3 | Val Acc: 0.3881
 Best site-Indian_utk                | Epoch:3 | Val Acc: 0.3297
 Best site-Indian_utk                | Epoch:3 | Val Acc: 0.3663
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.3095
 Best site-Black_utk                 | Epoch:3 | Val Acc: 0.3203
 Best site-Others_utk                | Epoch:3 | Val Acc: 0.4762
 Best site-Others_utk                | Epoch:3 | Val Acc: 0.4444
 Best site-Southeast_Asian           | Epoch:3 | Val Acc: 0.3571
 Best site-Southeast_Asian           | Epoch:3 | Val Acc: 0.2791
 Best site-Middle_Eastern_gan        | Epoch:3 | Val Acc: 0.4211
 Best site-Middle_Eastern_gan        | Epoch:3 | Val Acc: 0.4138
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 4 ============
 Site-White_utk                     | Train Loss: 2.1322 | Train Acc: 0.2196
 Site-White_utk                     | Train Loss: 2.1323 | Train Acc: 0.2038
 Site-East_Asian                    | Train Loss: 2.0160 | Train Acc: 0.3881
 Site-East_Asian                    | Train Loss: 2.0194 | Train Acc: 0.3940
 Site-Indian_utk                    | Train Loss: 2.0574 | Train Acc: 0.3431
 Site-Indian_utk                    | Train Loss: 2.0609 | Train Acc: 0.3601
 Site-Black_utk                     | Train Loss: 2.0901 | Train Acc: 0.2812
 Site-Black_utk                     | Train Loss: 2.0849 | Train Acc: 0.3490
 Site-Others_utk                    | Train Loss: 2.0498 | Train Acc: 0.3810
 Site-Others_utk                    | Train Loss: 2.0180 | Train Acc: 0.4762
 Site-Southeast_Asian               | Train Loss: 2.0590 | Train Acc: 0.2791
 Site-Southeast_Asian               | Train Loss: 2.1486 | Train Acc: 0.3256
 Site-Middle_Eastern_gan            | Train Loss: 1.8995 | Train Acc: 0.6897
 Site-Middle_Eastern_gan            | Train Loss: 2.0057 | Train Acc: 0.4828
Average Train Accuracy: 0.3695
 Site-White_utk                     | Val  Loss: 2.1380 | Val  Acc: 0.2081
 Site-White_utk                     | Val  Loss: 2.1330 | Val  Acc: 0.2078
 Site-East_Asian                    | Val  Loss: 2.0035 | Val  Acc: 0.3731
 Site-East_Asian                    | Val  Loss: 2.0080 | Val  Acc: 0.3881
 Site-Indian_utk                    | Val  Loss: 2.0613 | Val  Acc: 0.3846
 Site-Indian_utk                    | Val  Loss: 2.0546 | Val  Acc: 0.3919
 Site-Black_utk                     | Val  Loss: 2.0956 | Val  Acc: 0.3095
 Site-Black_utk                     | Val  Loss: 2.0868 | Val  Acc: 0.3281
 Site-Others_utk                    | Val  Loss: 2.0165 | Val  Acc: 0.5000
 Site-Others_utk                    | Val  Loss: 2.0222 | Val  Acc: 0.4365
 Site-Southeast_Asian               | Val  Loss: 2.0850 | Val  Acc: 0.2857
 Site-Southeast_Asian               | Val  Loss: 2.0897 | Val  Acc: 0.3023
 Site-Middle_Eastern_gan            | Val  Loss: 2.0313 | Val  Acc: 0.5789
 Site-Middle_Eastern_gan            | Val  Loss: 2.0261 | Val  Acc: 0.4828
Average Valid Accuracy: 0.3698
 Best site-White_utk                 | Epoch:4 | Val Acc: 0.2081
 Best site-White_utk                 | Epoch:4 | Val Acc: 0.2078
 Best site-East_Asian                | Epoch:4 | Val Acc: 0.3731
 Best site-East_Asian                | Epoch:4 | Val Acc: 0.3881
 Best site-Indian_utk                | Epoch:4 | Val Acc: 0.3846
 Best site-Indian_utk                | Epoch:4 | Val Acc: 0.3919
 Best site-Black_utk                 | Epoch:4 | Val Acc: 0.3095
 Best site-Black_utk                 | Epoch:4 | Val Acc: 0.3281
 Best site-Others_utk                | Epoch:4 | Val Acc: 0.5000
 Best site-Others_utk                | Epoch:4 | Val Acc: 0.4365
 Best site-Southeast_Asian           | Epoch:4 | Val Acc: 0.2857
 Best site-Southeast_Asian           | Epoch:4 | Val Acc: 0.3023
 Best site-Middle_Eastern_gan        | Epoch:4 | Val Acc: 0.5789
 Best site-Middle_Eastern_gan        | Epoch:4 | Val Acc: 0.4828
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 5 ============
 Site-White_utk                     | Train Loss: 2.1180 | Train Acc: 0.2027
 Site-White_utk                     | Train Loss: 2.1192 | Train Acc: 0.1847
 Site-East_Asian                    | Train Loss: 1.9806 | Train Acc: 0.3930
 Site-East_Asian                    | Train Loss: 1.9930 | Train Acc: 0.3907
 Site-Indian_utk                    | Train Loss: 2.0350 | Train Acc: 0.3504
 Site-Indian_utk                    | Train Loss: 2.0384 | Train Acc: 0.3650
 Site-Black_utk                     | Train Loss: 2.0491 | Train Acc: 0.3906
 Site-Black_utk                     | Train Loss: 2.0649 | Train Acc: 0.3646
 Site-Others_utk                    | Train Loss: 2.0196 | Train Acc: 0.4444
 Site-Others_utk                    | Train Loss: 1.9840 | Train Acc: 0.5185
 Site-Southeast_Asian               | Train Loss: 2.0442 | Train Acc: 0.3023
 Site-Southeast_Asian               | Train Loss: 1.9365 | Train Acc: 0.3178
 Site-Middle_Eastern_gan            | Train Loss: 1.8347 | Train Acc: 0.8276
 Site-Middle_Eastern_gan            | Train Loss: 1.9675 | Train Acc: 0.5172
Average Train Accuracy: 0.3978
 Site-White_utk                     | Val  Loss: 2.1288 | Val  Acc: 0.2132
 Site-White_utk                     | Val  Loss: 2.1164 | Val  Acc: 0.1909
 Site-East_Asian                    | Val  Loss: 1.9772 | Val  Acc: 0.3731
 Site-East_Asian                    | Val  Loss: 1.9818 | Val  Acc: 0.3806
 Site-Indian_utk                    | Val  Loss: 2.0203 | Val  Acc: 0.4286
 Site-Indian_utk                    | Val  Loss: 2.0301 | Val  Acc: 0.3993
 Site-Black_utk                     | Val  Loss: 2.0898 | Val  Acc: 0.3333
 Site-Black_utk                     | Val  Loss: 2.0700 | Val  Acc: 0.3594
 Site-Others_utk                    | Val  Loss: 1.9913 | Val  Acc: 0.5238
 Site-Others_utk                    | Val  Loss: 1.9843 | Val  Acc: 0.5000
 Site-Southeast_Asian               | Val  Loss: 2.0669 | Val  Acc: 0.3214
 Site-Southeast_Asian               | Val  Loss: 2.0666 | Val  Acc: 0.2907
 Site-Middle_Eastern_gan            | Val  Loss: 2.0018 | Val  Acc: 0.6316
 Site-Middle_Eastern_gan            | Val  Loss: 1.9906 | Val  Acc: 0.5000
Average Valid Accuracy: 0.3890
 Best site-White_utk                 | Epoch:5 | Val Acc: 0.2132
 Best site-White_utk                 | Epoch:5 | Val Acc: 0.1909
 Best site-East_Asian                | Epoch:5 | Val Acc: 0.3731
 Best site-East_Asian                | Epoch:5 | Val Acc: 0.3806
 Best site-Indian_utk                | Epoch:5 | Val Acc: 0.4286
 Best site-Indian_utk                | Epoch:5 | Val Acc: 0.3993
 Best site-Black_utk                 | Epoch:5 | Val Acc: 0.3333
 Best site-Black_utk                 | Epoch:5 | Val Acc: 0.3594
 Best site-Others_utk                | Epoch:5 | Val Acc: 0.5238
 Best site-Others_utk                | Epoch:5 | Val Acc: 0.5000
 Best site-Southeast_Asian           | Epoch:5 | Val Acc: 0.3214
 Best site-Southeast_Asian           | Epoch:5 | Val Acc: 0.2907
 Best site-Middle_Eastern_gan        | Epoch:5 | Val Acc: 0.6316
 Best site-Middle_Eastern_gan        | Epoch:5 | Val Acc: 0.5000
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 6 ============
 Site-White_utk                     | Train Loss: 2.0983 | Train Acc: 0.2230
 Site-White_utk                     | Train Loss: 2.1058 | Train Acc: 0.2106
 Site-East_Asian                    | Train Loss: 1.9411 | Train Acc: 0.4080
 Site-East_Asian                    | Train Loss: 1.9640 | Train Acc: 0.3891
 Site-Indian_utk                    | Train Loss: 2.0005 | Train Acc: 0.3723
 Site-Indian_utk                    | Train Loss: 2.0102 | Train Acc: 0.3771
 Site-Black_utk                     | Train Loss: 2.0372 | Train Acc: 0.3594
 Site-Black_utk                     | Train Loss: 2.0339 | Train Acc: 0.3750
 Site-Others_utk                    | Train Loss: 1.9917 | Train Acc: 0.4603
 Site-Others_utk                    | Train Loss: 1.9527 | Train Acc: 0.5291
 Site-Southeast_Asian               | Train Loss: 2.0292 | Train Acc: 0.3023
 Site-Southeast_Asian               | Train Loss: 2.0689 | Train Acc: 0.3178
 Site-Middle_Eastern_gan            | Train Loss: 1.7681 | Train Acc: 0.9655
 Site-Middle_Eastern_gan            | Train Loss: 1.9351 | Train Acc: 0.5402
Average Train Accuracy: 0.4164
 Site-White_utk                     | Val  Loss: 2.1093 | Val  Acc: 0.2183
 Site-White_utk                     | Val  Loss: 2.1068 | Val  Acc: 0.1892
 Site-East_Asian                    | Val  Loss: 1.9464 | Val  Acc: 0.3881
 Site-East_Asian                    | Val  Loss: 1.9561 | Val  Acc: 0.3905
 Site-Indian_utk                    | Val  Loss: 2.0036 | Val  Acc: 0.4286
 Site-Indian_utk                    | Val  Loss: 2.0083 | Val  Acc: 0.3883
 Site-Black_utk                     | Val  Loss: 2.0541 | Val  Acc: 0.3095
 Site-Black_utk                     | Val  Loss: 2.0451 | Val  Acc: 0.3672
 Site-Others_utk                    | Val  Loss: 1.9612 | Val  Acc: 0.5476
 Site-Others_utk                    | Val  Loss: 1.9615 | Val  Acc: 0.5079
 Site-Southeast_Asian               | Val  Loss: 2.0527 | Val  Acc: 0.3571
 Site-Southeast_Asian               | Val  Loss: 2.0531 | Val  Acc: 0.3023
 Site-Middle_Eastern_gan            | Val  Loss: 1.9769 | Val  Acc: 0.5789
 Site-Middle_Eastern_gan            | Val  Loss: 1.9602 | Val  Acc: 0.5345
Average Valid Accuracy: 0.3934
 Best site-White_utk                 | Epoch:6 | Val Acc: 0.2183
 Best site-White_utk                 | Epoch:6 | Val Acc: 0.1892
 Best site-East_Asian                | Epoch:6 | Val Acc: 0.3881
 Best site-East_Asian                | Epoch:6 | Val Acc: 0.3905
 Best site-Indian_utk                | Epoch:6 | Val Acc: 0.4286
 Best site-Indian_utk                | Epoch:6 | Val Acc: 0.3883
 Best site-Black_utk                 | Epoch:6 | Val Acc: 0.3095
 Best site-Black_utk                 | Epoch:6 | Val Acc: 0.3672
 Best site-Others_utk                | Epoch:6 | Val Acc: 0.5476
 Best site-Others_utk                | Epoch:6 | Val Acc: 0.5079
 Best site-Southeast_Asian           | Epoch:6 | Val Acc: 0.3571
 Best site-Southeast_Asian           | Epoch:6 | Val Acc: 0.3023
 Best site-Middle_Eastern_gan        | Epoch:6 | Val Acc: 0.5789
 Best site-Middle_Eastern_gan        | Epoch:6 | Val Acc: 0.5345
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 7 ============
 Site-White_utk                     | Train Loss: 2.0925 | Train Acc: 0.2230
 Site-White_utk                     | Train Loss: 2.0949 | Train Acc: 0.2083
 Site-East_Asian                    | Train Loss: 1.9089 | Train Acc: 0.3930
 Site-East_Asian                    | Train Loss: 1.9406 | Train Acc: 0.3874
 Site-Indian_utk                    | Train Loss: 1.9700 | Train Acc: 0.3577
 Site-Indian_utk                    | Train Loss: 1.9888 | Train Acc: 0.3917
 Site-Black_utk                     | Train Loss: 2.0087 | Train Acc: 0.3750
 Site-Black_utk                     | Train Loss: 2.0257 | Train Acc: 0.3750
 Site-Others_utk                    | Train Loss: 1.9747 | Train Acc: 0.4286
 Site-Others_utk                    | Train Loss: 1.9257 | Train Acc: 0.5238
 Site-Southeast_Asian               | Train Loss: 1.9921 | Train Acc: 0.3023
 Site-Southeast_Asian               | Train Loss: 2.0939 | Train Acc: 0.3178
 Site-Middle_Eastern_gan            | Train Loss: 1.7241 | Train Acc: 0.9655
 Site-Middle_Eastern_gan            | Train Loss: 1.9017 | Train Acc: 0.5287
Average Train Accuracy: 0.4127
 Site-White_utk                     | Val  Loss: 2.1051 | Val  Acc: 0.1929
 Site-White_utk                     | Val  Loss: 2.0899 | Val  Acc: 0.2078
 Site-East_Asian                    | Val  Loss: 1.9200 | Val  Acc: 0.3731
 Site-East_Asian                    | Val  Loss: 1.9296 | Val  Acc: 0.3905
 Site-Indian_utk                    | Val  Loss: 1.9852 | Val  Acc: 0.4286
 Site-Indian_utk                    | Val  Loss: 1.9840 | Val  Acc: 0.3846
 Site-Black_utk                     | Val  Loss: 2.0393 | Val  Acc: 0.3095
 Site-Black_utk                     | Val  Loss: 2.0333 | Val  Acc: 0.3984
 Site-Others_utk                    | Val  Loss: 1.9304 | Val  Acc: 0.5714
 Site-Others_utk                    | Val  Loss: 1.9313 | Val  Acc: 0.5000
 Site-Southeast_Asian               | Val  Loss: 2.0221 | Val  Acc: 0.3214
 Site-Southeast_Asian               | Val  Loss: 2.0285 | Val  Acc: 0.3140
 Site-Middle_Eastern_gan            | Val  Loss: 1.9158 | Val  Acc: 0.6842
 Site-Middle_Eastern_gan            | Val  Loss: 1.9383 | Val  Acc: 0.5690
Average Valid Accuracy: 0.4032
 Best site-White_utk                 | Epoch:7 | Val Acc: 0.1929
 Best site-White_utk                 | Epoch:7 | Val Acc: 0.2078
 Best site-East_Asian                | Epoch:7 | Val Acc: 0.3731
 Best site-East_Asian                | Epoch:7 | Val Acc: 0.3905
 Best site-Indian_utk                | Epoch:7 | Val Acc: 0.4286
 Best site-Indian_utk                | Epoch:7 | Val Acc: 0.3846
 Best site-Black_utk                 | Epoch:7 | Val Acc: 0.3095
 Best site-Black_utk                 | Epoch:7 | Val Acc: 0.3984
 Best site-Others_utk                | Epoch:7 | Val Acc: 0.5714
 Best site-Others_utk                | Epoch:7 | Val Acc: 0.5000
 Best site-Southeast_Asian           | Epoch:7 | Val Acc: 0.3214
 Best site-Southeast_Asian           | Epoch:7 | Val Acc: 0.3140
 Best site-Middle_Eastern_gan        | Epoch:7 | Val Acc: 0.6842
 Best site-Middle_Eastern_gan        | Epoch:7 | Val Acc: 0.5690
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_even-mix5_1.0_1_random_dis_cluster_-1/fedavg...
============ Train epoch 8 ============
 Site-White_utk                     | Train Loss: 2.0736 | Train Acc: 0.2264
 Site-White_utk                     | Train Loss: 2.0822 | Train Acc: 0.2140
 Site-East_Asian                    | Train Loss: 1.8915 | Train Acc: 0.4030
