===2023-08-05 14:14:16===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 10
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[25,38,56,85,127,20,33,52,83,25,43,75,34,68,26,52,60,45,
client_nums=[5,4,3,2,2,1,1,]
len_dataset=[555,317,241,173,132,100,76,]
domain number = 7
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 1.8183 | Train Acc: 0.6000
 Site-RealWorld                     | Val  Loss: 1.3438 | Val  Acc: 0.8800
 Site-webcam                        | Val  Loss: 1.4561 | Val  Acc: 0.9130
 Site-webcam                        | Val  Loss: 1.4029 | Val  Acc: 0.8913
 Site-Clipart                       | Val  Loss: 1.4492 | Val  Acc: 0.8824
 Site-Clipart                       | Val  Loss: 1.4522 | Val  Acc: 0.8235
 Site-dslr                          | Val  Loss: 1.3397 | Val  Acc: 0.9250
 Site-Product                       | Val  Loss: 1.2828 | Val  Acc: 0.9333
Average Valid Accuracy: 0.8575
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8750
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8400
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8378
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8214
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8571
 Best site-Art                       | Epoch:1 | Val Acc: 0.6923
 Best site-Art                       | Epoch:1 | Val Acc: 0.8571
 Best site-Art                       | Epoch:1 | Val Acc: 0.7647
 Best site-Art                       | Epoch:1 | Val Acc: 0.8000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.8750
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.9655
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.8800
 Best site-webcam                    | Epoch:1 | Val Acc: 0.9130
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8913
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8824
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8235
 Best site-dslr                      | Epoch:1 | Val Acc: 0.9250
 Best site-Product                   | Epoch:1 | Val Acc: 0.9333
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.31_1/harmo-fl...
============ Train epoch 2 ============
 Site-amazon                        | Train Loss: 1.1458 | Train Acc: 0.6800
 Site-amazon                        | Train Loss: 1.0430 | Train Acc: 0.8947
 Site-amazon                        | Train Loss: 1.0118 | Train Acc: 0.8750
 Site-amazon                        | Train Loss: 0.8661 | Train Acc: 0.8824
 Site-amazon                        | Train Loss: 0.9668 | Train Acc: 0.8661
 Site-Art                           | Train Loss: 1.3436 | Train Acc: 0.7500
 Site-Art                           | Train Loss: 1.3780 | Train Acc: 0.8485
 Site-Art                           | Train Loss: 1.3180 | Train Acc: 0.8462
 Site-Art                           | Train Loss: 1.3471 | Train Acc: 0.8072
 Site-RealWorld                     | Train Loss: 1.1305 | Train Acc: 0.9200
 Site-RealWorld                     | Train Loss: 1.0143 | Train Acc: 0.9070
 Site-RealWorld                     | Train Loss: 1.1331 | Train Acc: 0.8933
 Site-webcam                        | Train Loss: 0.8102 | Train Acc: 1.0000
 Site-webcam                        | Train Loss: 0.9756 | Train Acc: 1.0000
 Site-Clipart                       | Train Loss: 1.3819 | Train Acc: 0.7692
 Site-Clipart                       | Train Loss: 1.1660 | Train Acc: 0.8269
 Site-dslr                          | Train Loss: 1.0111 | Train Acc: 0.9667
 Site-Product                       | Train Loss: 0.9625 | Train Acc: 0.9111
Average Train Accuracy: 0.8691
 Site-amazon                        | Val  Loss: 1.0103 | Val  Acc: 0.8750
 Site-amazon                        | Val  Loss: 0.9777 | Val  Acc: 0.8400
 Site-amazon                        | Val  Loss: 0.9256 | Val  Acc: 0.8649
 Site-amazon                        | Val  Loss: 1.0044 | Val  Acc: 0.8571
 Site-amazon                        | Val  Loss: 1.0127 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 1.2903 | Val  Acc: 0.6923
 Site-Art                           | Val  Loss: 1.2821 | Val  Acc: 0.9048
 Site-Art                           | Val  Loss: 1.5421 | Val  Acc: 0.8235
 Site-Art                           | Val  Loss: 1.4488 | Val  Acc: 0.7636
 Site-RealWorld                     | Val  Loss: 1.1003 | Val  Acc: 0.8750
 Site-RealWorld                     | Val  Loss: 0.9132 | Val  Acc: 0.9655
 Site-RealWorld                     | Val  Loss: 1.0306 | Val  Acc: 0.9200
 Site-webcam                        | Val  Loss: 1.1752 | Val  Acc: 0.9565
 Site-webcam                        | Val  Loss: 1.0761 | Val  Acc: 0.9783
 Site-Clipart                       | Val  Loss: 1.2199 | Val  Acc: 0.8824
 Site-Clipart                       | Val  Loss: 1.2194 | Val  Acc: 0.8529
 Site-dslr                          | Val  Loss: 1.0304 | Val  Acc: 0.9750
 Site-Product                       | Val  Loss: 0.9637 | Val  Acc: 0.9000
Average Valid Accuracy: 0.8769
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8750
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8400
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8649
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8571
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8571
 Best site-Art                       | Epoch:2 | Val Acc: 0.6923
 Best site-Art                       | Epoch:2 | Val Acc: 0.9048
 Best site-Art                       | Epoch:2 | Val Acc: 0.8235
 Best site-Art                       | Epoch:2 | Val Acc: 0.7636
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.8750
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9655
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9200
 Best site-webcam                    | Epoch:2 | Val Acc: 0.9565
 Best site-webcam                    | Epoch:2 | Val Acc: 0.9783
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8824
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.8529
 Best site-dslr                      | Epoch:2 | Val Acc: 0.9750
 Best site-Product                   | Epoch:2 | Val Acc: 0.9000
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.31_1/harmo-fl...
============ Train epoch 3 ============
 Site-amazon                        | Train Loss: 0.9557 | Train Acc: 0.7600
 Site-amazon                        | Train Loss: 0.8160 | Train Acc: 0.8684
 Site-amazon                        | Train Loss: 0.7920 | Train Acc: 0.8750
 Site-amazon                        | Train Loss: 0.6882 | Train Acc: 0.9059
 Site-amazon                        | Train Loss: 0.7547 | Train Acc: 0.8583
 Site-Art                           | Train Loss: 1.1130 | Train Acc: 0.8500
 Site-Art                           | Train Loss: 1.1546 | Train Acc: 0.8182
 Site-Art                           | Train Loss: 1.1386 | Train Acc: 0.8462
 Site-Art                           | Train Loss: 1.1163 | Train Acc: 0.8554
 Site-RealWorld                     | Train Loss: 0.8929 | Train Acc: 0.9200
 Site-RealWorld                     | Train Loss: 0.7718 | Train Acc: 0.8837
 Site-RealWorld                     | Train Loss: 0.7708 | Train Acc: 0.9067
 Site-webcam                        | Train Loss: 0.5771 | Train Acc: 0.9706
 Site-webcam                        | Train Loss: 0.9479 | Train Acc: 0.9706
 Site-Clipart                       | Train Loss: 1.2298 | Train Acc: 0.7308
 Site-Clipart                       | Train Loss: 1.0483 | Train Acc: 0.8269
 Site-dslr                          | Train Loss: 0.7408 | Train Acc: 1.0000
 Site-Product                       | Train Loss: 0.7484 | Train Acc: 0.9556
Average Train Accuracy: 0.8779
 Site-amazon                        | Val  Loss: 0.7352 | Val  Acc: 0.8750
 Site-amazon                        | Val  Loss: 0.7128 | Val  Acc: 0.8800
 Site-amazon                        | Val  Loss: 0.7211 | Val  Acc: 0.8649
 Site-amazon                        | Val  Loss: 0.7917 | Val  Acc: 0.8750
 Site-amazon                        | Val  Loss: 0.7566 | Val  Acc: 0.9048
 Site-Art                           | Val  Loss: 1.0979 | Val  Acc: 0.6923
 Site-Art                           | Val  Loss: 1.1474 | Val  Acc: 0.9048
 Site-Art                           | Val  Loss: 1.3752 | Val  Acc: 0.7059
 Site-Art                           | Val  Loss: 1.2582 | Val  Acc: 0.8000
 Site-RealWorld                     | Val  Loss: 0.8653 | Val  Acc: 0.8750
 Site-RealWorld                     | Val  Loss: 0.7187 | Val  Acc: 0.9310
 Site-RealWorld                     | Val  Loss: 0.8281 | Val  Acc: 0.9000
 Site-webcam                        | Val  Loss: 0.9068 | Val  Acc: 1.0000
 Site-webcam                        | Val  Loss: 0.8537 | Val  Acc: 0.9783
 Site-Clipart                       | Val  Loss: 0.9678 | Val  Acc: 0.9412
 Site-Clipart                       | Val  Loss: 0.9866 | Val  Acc: 0.8824
 Site-dslr                          | Val  Loss: 0.7848 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 0.6983 | Val  Acc: 0.9667
Average Valid Accuracy: 0.8876
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8750
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8800
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8649
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8750
 Best site-amazon                    | Epoch:3 | Val Acc: 0.9048
 Best site-Art                       | Epoch:3 | Val Acc: 0.6923
 Best site-Art                       | Epoch:3 | Val Acc: 0.9048
 Best site-Art                       | Epoch:3 | Val Acc: 0.7059
 Best site-Art                       | Epoch:3 | Val Acc: 0.8000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.8750
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9310
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9000
 Best site-webcam                    | Epoch:3 | Val Acc: 1.0000
 Best site-webcam                    | Epoch:3 | Val Acc: 0.9783
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.9412
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.8824
 Best site-dslr                      | Epoch:3 | Val Acc: 1.0000
 Best site-Product                   | Epoch:3 | Val Acc: 0.9667
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.31_1/harmo-fl...
============ Train epoch 4 ============
 Site-amazon                        | Train Loss: 0.9079 | Train Acc: 0.7600
 Site-amazon                        | Train Loss: 0.6118 | Train Acc: 0.9211
 Site-amazon                        | Train Loss: 0.6494 | Train Acc: 0.8929
 Site-amazon                        | Train Loss: 0.5788 | Train Acc: 0.9176
 Site-amazon                        | Train Loss: 0.6037 | Train Acc: 0.8976
 Site-Art                           | Train Loss: 0.9866 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 0.9898 | Train Acc: 0.8182
 Site-Art                           | Train Loss: 1.0499 | Train Acc: 0.8846
 Site-Art                           | Train Loss: 1.0893 | Train Acc: 0.8313
 Site-RealWorld                     | Train Loss: 0.7617 | Train Acc: 0.9600
 Site-RealWorld                     | Train Loss: 0.6356 | Train Acc: 0.9302
 Site-RealWorld                     | Train Loss: 0.6326 | Train Acc: 0.8800
 Site-webcam                        | Train Loss: 0.4422 | Train Acc: 1.0000
 Site-webcam                        | Train Loss: 0.7165 | Train Acc: 0.9853
 Site-Clipart                       | Train Loss: 1.1676 | Train Acc: 0.7692
 Site-Clipart                       | Train Loss: 0.9023 | Train Acc: 0.8077
 Site-dslr                          | Train Loss: 0.6011 | Train Acc: 1.0000
 Site-Product                       | Train Loss: 0.5879 | Train Acc: 0.9333
Average Train Accuracy: 0.8883
 Site-amazon                        | Val  Loss: 0.5413 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 0.5899 | Val  Acc: 0.8800
 Site-amazon                        | Val  Loss: 0.6045 | Val  Acc: 0.8919
 Site-amazon                        | Val  Loss: 0.6487 | Val  Acc: 0.9286
 Site-amazon                        | Val  Loss: 0.5949 | Val  Acc: 0.9048
 Site-Art                           | Val  Loss: 0.8739 | Val  Acc: 0.7692
 Site-Art                           | Val  Loss: 0.8779 | Val  Acc: 0.9048
 Site-Art                           | Val  Loss: 1.1840 | Val  Acc: 0.7941
 Site-Art                           | Val  Loss: 1.1483 | Val  Acc: 0.7818
 Site-RealWorld                     | Val  Loss: 0.6175 | Val  Acc: 0.8750
 Site-RealWorld                     | Val  Loss: 0.5684 | Val  Acc: 0.9310
 Site-RealWorld                     | Val  Loss: 0.6659 | Val  Acc: 0.9200
 Site-webcam                        | Val  Loss: 0.7624 | Val  Acc: 0.9565
 Site-webcam                        | Val  Loss: 0.6776 | Val  Acc: 1.0000
 Site-Clipart                       | Val  Loss: 0.9079 | Val  Acc: 0.8824
 Site-Clipart                       | Val  Loss: 0.8383 | Val  Acc: 0.8824
 Site-dslr                          | Val  Loss: 0.6509 | Val  Acc: 0.9750
 Site-Product                       | Val  Loss: 0.5494 | Val  Acc: 0.9333
Average Valid Accuracy: 0.9006
 Best site-amazon                    | Epoch:4 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8800
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8919
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9286
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9048
 Best site-Art                       | Epoch:4 | Val Acc: 0.7692
 Best site-Art                       | Epoch:4 | Val Acc: 0.9048
 Best site-Art                       | Epoch:4 | Val Acc: 0.7941
 Best site-Art                       | Epoch:4 | Val Acc: 0.7818
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.8750
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.9310
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.9200
 Best site-webcam                    | Epoch:4 | Val Acc: 0.9565
 Best site-webcam                    | Epoch:4 | Val Acc: 1.0000
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.8824
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.8824
 Best site-dslr                      | Epoch:4 | Val Acc: 0.9750
 Best site-Product                   | Epoch:4 | Val Acc: 0.9333
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.31_1/harmo-fl...
============ Train epoch 5 ============
 Site-amazon                        | Train Loss: 0.7397 | Train Acc: 0.8000
 Site-amazon                        | Train Loss: 0.5281 | Train Acc: 0.9211
 Site-amazon                        | Train Loss: 0.5442 | Train Acc: 0.8929
 Site-amazon                        | Train Loss: 0.5430 | Train Acc: 0.9412
 Site-amazon                        | Train Loss: 0.5188 | Train Acc: 0.9055
 Site-Art                           | Train Loss: 0.8601 | Train Acc: 0.8000
 Site-Art                           | Train Loss: 0.8466 | Train Acc: 0.8182
 Site-Art                           | Train Loss: 0.8954 | Train Acc: 0.9038
 Site-Art                           | Train Loss: 0.8704 | Train Acc: 0.8554
 Site-RealWorld                     | Train Loss: 0.6515 | Train Acc: 0.8800
 Site-RealWorld                     | Train Loss: 0.5175 | Train Acc: 0.9302
 Site-RealWorld                     | Train Loss: 0.5001 | Train Acc: 0.9200
 Site-webcam                        | Train Loss: 0.3364 | Train Acc: 0.9706
 Site-webcam                        | Train Loss: 0.5634 | Train Acc: 0.9706
 Site-Clipart                       | Train Loss: 1.1337 | Train Acc: 0.7692
 Site-Clipart                       | Train Loss: 0.7633 | Train Acc: 0.8462
 Site-dslr                          | Train Loss: 0.4949 | Train Acc: 0.9667
 Site-Product                       | Train Loss: 0.4227 | Train Acc: 0.9333
Average Train Accuracy: 0.8903
 Site-amazon                        | Val  Loss: 0.5481 | Val  Acc: 0.8750
 Site-amazon                        | Val  Loss: 0.4685 | Val  Acc: 0.8800
 Site-amazon                        | Val  Loss: 0.4968 | Val  Acc: 0.9189
 Site-amazon                        | Val  Loss: 0.5442 | Val  Acc: 0.9464
 Site-amazon                        | Val  Loss: 0.5307 | Val  Acc: 0.9286
 Site-Art                           | Val  Loss: 0.7966 | Val  Acc: 0.7692
 Site-Art                           | Val  Loss: 0.8804 | Val  Acc: 0.9048
 Site-Art                           | Val  Loss: 1.0525 | Val  Acc: 0.8824
 Site-Art                           | Val  Loss: 0.9882 | Val  Acc: 0.7818
 Site-RealWorld                     | Val  Loss: 0.6053 | Val  Acc: 0.8750
 Site-RealWorld                     | Val  Loss: 0.4584 | Val  Acc: 0.9310
 Site-RealWorld                     | Val  Loss: 0.5825 | Val  Acc: 0.9200
 Site-webcam                        | Val  Loss: 0.5863 | Val  Acc: 0.9565
 Site-webcam                        | Val  Loss: 0.5876 | Val  Acc: 0.9783
 Site-Clipart                       | Val  Loss: 0.7438 | Val  Acc: 0.8824
 Site-Clipart                       | Val  Loss: 0.7181 | Val  Acc: 0.9118
 Site-dslr                          | Val  Loss: 0.5043 | Val  Acc: 0.9750
 Site-Product                       | Val  Loss: 0.4289 | Val  Acc: 0.9667
Average Valid Accuracy: 0.9046
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8750
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8800
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9189
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9464
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9286
 Best site-Art                       | Epoch:5 | Val Acc: 0.7692
 Best site-Art                       | Epoch:5 | Val Acc: 0.9048
 Best site-Art                       | Epoch:5 | Val Acc: 0.8824
 Best site-Art                       | Epoch:5 | Val Acc: 0.7818
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.8750
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.9310
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.9200
 Best site-webcam                    | Epoch:5 | Val Acc: 0.9565
 Best site-webcam                    | Epoch:5 | Val Acc: 0.9783
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.8824
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.9118
 Best site-dslr                      | Epoch:5 | Val Acc: 0.9750
 Best site-Product                   | Epoch:5 | Val Acc: 0.9667
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.31_1/harmo-fl...
============ Train epoch 6 ============
 Site-amazon                        | Train Loss: 0.7086 | Train Acc: 0.7200
 Site-amazon                        | Train Loss: 0.4451 | Train Acc: 0.9211
 Site-amazon                        | Train Loss: 0.4803 | Train Acc: 0.8929
 Site-amazon                        | Train Loss: 0.3651 | Train Acc: 0.9412
 Site-amazon                        | Train Loss: 0.4567 | Train Acc: 0.8976
 Site-Art                           | Train Loss: 0.7928 | Train Acc: 0.9000
 Site-Art                           | Train Loss: 0.8613 | Train Acc: 0.6667
 Site-Art                           | Train Loss: 0.7561 | Train Acc: 0.8654
 Site-Art                           | Train Loss: 0.8263 | Train Acc: 0.8675
 Site-RealWorld                     | Train Loss: 0.5617 | Train Acc: 0.9200
 Site-RealWorld                     | Train Loss: 0.4599 | Train Acc: 0.9302
 Site-RealWorld                     | Train Loss: 0.4170 | Train Acc: 0.9067
 Site-webcam                        | Train Loss: 0.2719 | Train Acc: 0.9706
 Site-webcam                        | Train Loss: 0.3799 | Train Acc: 0.9853
 Site-Clipart                       | Train Loss: 1.0676 | Train Acc: 0.7692
 Site-Clipart                       | Train Loss: 0.7059 | Train Acc: 0.8077
 Site-dslr                          | Train Loss: 0.3985 | Train Acc: 0.9500
 Site-Product                       | Train Loss: 0.4096 | Train Acc: 0.9333
Average Train Accuracy: 0.8803
 Site-amazon                        | Val  Loss: 0.4516 | Val  Acc: 0.9375
 Site-amazon                        | Val  Loss: 0.4541 | Val  Acc: 0.8800
 Site-amazon                        | Val  Loss: 0.4391 | Val  Acc: 0.9189
 Site-amazon                        | Val  Loss: 0.5037 | Val  Acc: 0.9286
 Site-amazon                        | Val  Loss: 0.4401 | Val  Acc: 0.9286
 Site-Art                           | Val  Loss: 0.6486 | Val  Acc: 0.8462
 Site-Art                           | Val  Loss: 0.6483 | Val  Acc: 0.8571
 Site-Art                           | Val  Loss: 0.9348 | Val  Acc: 0.8824
 Site-Art                           | Val  Loss: 0.8688 | Val  Acc: 0.8727
 Site-RealWorld                     | Val  Loss: 0.5201 | Val  Acc: 0.8750
 Site-RealWorld                     | Val  Loss: 0.4055 | Val  Acc: 0.9310
 Site-RealWorld                     | Val  Loss: 0.5637 | Val  Acc: 0.9200
 Site-webcam                        | Val  Loss: 0.5830 | Val  Acc: 0.9130
 Site-webcam                        | Val  Loss: 0.4930 | Val  Acc: 0.9565
 Site-Clipart                       | Val  Loss: 0.5972 | Val  Acc: 0.9412
 Site-Clipart                       | Val  Loss: 0.6562 | Val  Acc: 0.9118
 Site-dslr                          | Val  Loss: 0.4285 | Val  Acc: 0.9750
 Site-Product                       | Val  Loss: 0.4140 | Val  Acc: 0.9333
Average Valid Accuracy: 0.9116
 Best site-amazon                    | Epoch:6 | Val Acc: 0.9375
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8800
 Best site-amazon                    | Epoch:6 | Val Acc: 0.9189
 Best site-amazon                    | Epoch:6 | Val Acc: 0.9286
 Best site-amazon                    | Epoch:6 | Val Acc: 0.9286
 Best site-Art                       | Epoch:6 | Val Acc: 0.8462
 Best site-Art                       | Epoch:6 | Val Acc: 0.8571
 Best site-Art                       | Epoch:6 | Val Acc: 0.8824
 Best site-Art                       | Epoch:6 | Val Acc: 0.8727
 Best site-RealWorld                 | Epoch:6 | Val Acc: 0.8750
 Best site-RealWorld                 | Epoch:6 | Val Acc: 0.9310
