===2023-08-04 11:59:30===
===Setting===
    dataset: modern
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[28,37,47,61,79,103,133,172,222,287,24,37,55,83,124,50,100,69,
client_nums=[10,5,2,1,]
len_dataset=[1959,544,251,116,]
domain number = 4
============ Train epoch 0 ============
 Site-amazon                        | Train Loss: 3.3592 | Train Acc: 0.1786
 Best site-dslr                      | Epoch:0 | Val Acc: 0.0606
 Best site-dslr                      | Epoch:0 | Val Acc: 0.1818
 Best site-synthetic                 | Epoch:0 | Val Acc: 0.0870
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedavg...
============ Train epoch 1 ============
 Site-amazon                        | Train Loss: 3.2489 | Train Acc: 0.4286
 Site-amazon                        | Train Loss: 3.2081 | Train Acc: 0.6757
 Site-amazon                        | Train Loss: 3.2354 | Train Acc: 0.5957
 Site-amazon                        | Train Loss: 3.2331 | Train Acc: 0.5902
 Site-amazon                        | Train Loss: 3.2513 | Train Acc: 0.5316
 Site-amazon                        | Train Loss: 3.2301 | Train Acc: 0.6019
 Site-amazon                        | Train Loss: 3.2184 | Train Acc: 0.5414
 Site-amazon                        | Train Loss: 3.2365 | Train Acc: 0.5756
 Site-amazon                        | Train Loss: 3.2346 | Train Acc: 0.5541
 Site-amazon                        | Train Loss: 3.2393 | Train Acc: 0.5610
 Site-webcam                        | Train Loss: 3.2078 | Train Acc: 0.6250
 Site-webcam                        | Train Loss: 3.2490 | Train Acc: 0.5946
 Site-webcam                        | Train Loss: 3.2469 | Train Acc: 0.5818
 Site-webcam                        | Train Loss: 3.2780 | Train Acc: 0.4217
 Site-webcam                        | Train Loss: 3.2523 | Train Acc: 0.5081
 Site-dslr                          | Train Loss: 3.2734 | Train Acc: 0.3800
 Site-dslr                          | Train Loss: 3.2545 | Train Acc: 0.4800
 Site-synthetic                     | Train Loss: 3.3114 | Train Acc: 0.2319
Average Train Accuracy: 0.5266
 Site-amazon                        | Val  Loss: 3.1963 | Val  Acc: 0.6316
 Site-amazon                        | Val  Loss: 3.2204 | Val  Acc: 0.6250
 Site-amazon                        | Val  Loss: 3.2716 | Val  Acc: 0.4839
 Site-amazon                        | Val  Loss: 3.2680 | Val  Acc: 0.4146
 Site-amazon                        | Val  Loss: 3.2396 | Val  Acc: 0.5472
 Site-amazon                        | Val  Loss: 3.2092 | Val  Acc: 0.5294
 Site-amazon                        | Val  Loss: 3.2250 | Val  Acc: 0.6250
 Site-amazon                        | Val  Loss: 3.2375 | Val  Acc: 0.5614
 Site-amazon                        | Val  Loss: 3.2331 | Val  Acc: 0.5743
 Site-amazon                        | Val  Loss: 3.2329 | Val  Acc: 0.5393
 Site-webcam                        | Val  Loss: 3.1888 | Val  Acc: 0.7500
 Site-webcam                        | Val  Loss: 3.2227 | Val  Acc: 0.5833
 Site-webcam                        | Val  Loss: 3.2617 | Val  Acc: 0.4595
 Site-webcam                        | Val  Loss: 3.2735 | Val  Acc: 0.4909
 Site-webcam                        | Val  Loss: 3.2603 | Val  Acc: 0.5122
 Site-dslr                          | Val  Loss: 3.2808 | Val  Acc: 0.4848
 Site-dslr                          | Val  Loss: 3.2668 | Val  Acc: 0.4242
 Site-synthetic                     | Val  Loss: 3.3611 | Val  Acc: 0.1957
Average Valid Accuracy: 0.5240
 Best site-amazon                    | Epoch:1 | Val Acc: 0.6316
 Best site-amazon                    | Epoch:1 | Val Acc: 0.6250
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4839
 Best site-amazon                    | Epoch:1 | Val Acc: 0.4146
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5472
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5294
 Best site-amazon                    | Epoch:1 | Val Acc: 0.6250
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5614
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5743
 Best site-amazon                    | Epoch:1 | Val Acc: 0.5393
 Best site-webcam                    | Epoch:1 | Val Acc: 0.7500
 Best site-webcam                    | Epoch:1 | Val Acc: 0.5833
 Best site-webcam                    | Epoch:1 | Val Acc: 0.4595
 Best site-webcam                    | Epoch:1 | Val Acc: 0.4909
 Best site-webcam                    | Epoch:1 | Val Acc: 0.5122
 Best site-dslr                      | Epoch:1 | Val Acc: 0.4848
 Best site-dslr                      | Epoch:1 | Val Acc: 0.4242
 Best site-synthetic                 | Epoch:1 | Val Acc: 0.1957
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedavg...
============ Train epoch 2 ============
 Site-amazon                        | Train Loss: 3.1399 | Train Acc: 0.6071
 Site-amazon                        | Train Loss: 3.0997 | Train Acc: 0.7838
 Site-amazon                        | Train Loss: 3.1178 | Train Acc: 0.8298
 Site-amazon                        | Train Loss: 3.1393 | Train Acc: 0.6721
 Site-amazon                        | Train Loss: 3.1345 | Train Acc: 0.7342
 Site-amazon                        | Train Loss: 3.1418 | Train Acc: 0.6893
 Site-amazon                        | Train Loss: 3.1453 | Train Acc: 0.6842
 Site-amazon                        | Train Loss: 3.1351 | Train Acc: 0.7093
 Site-amazon                        | Train Loss: 3.1372 | Train Acc: 0.6712
 Site-amazon                        | Train Loss: 3.1421 | Train Acc: 0.7143
 Site-webcam                        | Train Loss: 3.1432 | Train Acc: 0.7083
 Site-webcam                        | Train Loss: 3.1745 | Train Acc: 0.7568
 Site-webcam                        | Train Loss: 3.1597 | Train Acc: 0.6545
 Site-webcam                        | Train Loss: 3.1902 | Train Acc: 0.5663
 Site-webcam                        | Train Loss: 3.1670 | Train Acc: 0.6694
 Site-dslr                          | Train Loss: 3.1833 | Train Acc: 0.6600
 Site-dslr                          | Train Loss: 3.1546 | Train Acc: 0.6700
 Site-synthetic                     | Train Loss: 3.2279 | Train Acc: 0.2754
Average Train Accuracy: 0.6698
 Site-amazon                        | Val  Loss: 3.0836 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 3.1108 | Val  Acc: 0.7083
 Site-amazon                        | Val  Loss: 3.1565 | Val  Acc: 0.6774
 Site-amazon                        | Val  Loss: 3.1870 | Val  Acc: 0.5366
 Site-amazon                        | Val  Loss: 3.1425 | Val  Acc: 0.7358
 Site-amazon                        | Val  Loss: 3.0915 | Val  Acc: 0.7353
 Site-amazon                        | Val  Loss: 3.1363 | Val  Acc: 0.6932
 Site-amazon                        | Val  Loss: 3.1385 | Val  Acc: 0.6930
 Site-amazon                        | Val  Loss: 3.1337 | Val  Acc: 0.6689
 Site-amazon                        | Val  Loss: 3.1313 | Val  Acc: 0.6911
 Site-webcam                        | Val  Loss: 3.1317 | Val  Acc: 0.6250
 Site-webcam                        | Val  Loss: 3.1398 | Val  Acc: 0.7083
 Site-webcam                        | Val  Loss: 3.1667 | Val  Acc: 0.6216
 Site-webcam                        | Val  Loss: 3.1738 | Val  Acc: 0.6000
 Site-webcam                        | Val  Loss: 3.1819 | Val  Acc: 0.5976
 Site-dslr                          | Val  Loss: 3.1885 | Val  Acc: 0.5152
 Site-dslr                          | Val  Loss: 3.1955 | Val  Acc: 0.6667
 Site-synthetic                     | Val  Loss: 3.3393 | Val  Acc: 0.2609
Average Valid Accuracy: 0.6519
 Best site-amazon                    | Epoch:2 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7083
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6774
 Best site-amazon                    | Epoch:2 | Val Acc: 0.5366
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7358
 Best site-amazon                    | Epoch:2 | Val Acc: 0.7353
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6932
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6930
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6689
 Best site-amazon                    | Epoch:2 | Val Acc: 0.6911
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6250
 Best site-webcam                    | Epoch:2 | Val Acc: 0.7083
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6216
 Best site-webcam                    | Epoch:2 | Val Acc: 0.6000
 Best site-webcam                    | Epoch:2 | Val Acc: 0.5976
 Best site-dslr                      | Epoch:2 | Val Acc: 0.5152
 Best site-dslr                      | Epoch:2 | Val Acc: 0.6667
 Best site-synthetic                 | Epoch:2 | Val Acc: 0.2609
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedavg...
============ Train epoch 3 ============
 Site-amazon                        | Train Loss: 3.0422 | Train Acc: 0.7857
 Site-amazon                        | Train Loss: 2.9952 | Train Acc: 0.7838
 Site-amazon                        | Train Loss: 3.0269 | Train Acc: 0.8298
 Site-amazon                        | Train Loss: 3.0311 | Train Acc: 0.7377
 Site-amazon                        | Train Loss: 3.0438 | Train Acc: 0.7848
 Site-amazon                        | Train Loss: 3.0351 | Train Acc: 0.8155
 Site-amazon                        | Train Loss: 3.0381 | Train Acc: 0.7519
 Site-amazon                        | Train Loss: 3.0385 | Train Acc: 0.7616
 Site-amazon                        | Train Loss: 3.0441 | Train Acc: 0.7928
 Site-amazon                        | Train Loss: 3.0396 | Train Acc: 0.7770
 Site-webcam                        | Train Loss: 3.0507 | Train Acc: 0.7917
 Site-webcam                        | Train Loss: 3.0944 | Train Acc: 0.7297
 Site-webcam                        | Train Loss: 3.0679 | Train Acc: 0.7455
 Site-webcam                        | Train Loss: 3.0646 | Train Acc: 0.6506
 Site-webcam                        | Train Loss: 3.0910 | Train Acc: 0.7016
 Site-dslr                          | Train Loss: 3.1092 | Train Acc: 0.6800
 Site-dslr                          | Train Loss: 3.0814 | Train Acc: 0.7200
 Site-synthetic                     | Train Loss: 3.2124 | Train Acc: 0.3333
Average Train Accuracy: 0.7318
 Site-amazon                        | Val  Loss: 2.9885 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 3.0262 | Val  Acc: 0.7500
 Site-amazon                        | Val  Loss: 3.0632 | Val  Acc: 0.6774
 Site-amazon                        | Val  Loss: 3.0860 | Val  Acc: 0.6829
 Site-amazon                        | Val  Loss: 3.0349 | Val  Acc: 0.8679
 Site-amazon                        | Val  Loss: 2.9970 | Val  Acc: 0.8382
 Site-amazon                        | Val  Loss: 3.0281 | Val  Acc: 0.7727
 Site-amazon                        | Val  Loss: 3.0387 | Val  Acc: 0.8070
 Site-amazon                        | Val  Loss: 3.0324 | Val  Acc: 0.7905
 Site-amazon                        | Val  Loss: 3.0313 | Val  Acc: 0.8115
 Site-webcam                        | Val  Loss: 3.0843 | Val  Acc: 0.6250
 Site-webcam                        | Val  Loss: 3.0571 | Val  Acc: 0.7500
 Site-webcam                        | Val  Loss: 3.0677 | Val  Acc: 0.7568
 Site-webcam                        | Val  Loss: 3.0886 | Val  Acc: 0.7455
 Site-webcam                        | Val  Loss: 3.0869 | Val  Acc: 0.6585
 Site-dslr                          | Val  Loss: 3.0978 | Val  Acc: 0.6667
 Site-dslr                          | Val  Loss: 3.0665 | Val  Acc: 0.7727
 Site-synthetic                     | Val  Loss: 3.2973 | Val  Acc: 0.3043
Average Valid Accuracy: 0.7377
 Best site-amazon                    | Epoch:3 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7500
 Best site-amazon                    | Epoch:3 | Val Acc: 0.6774
 Best site-amazon                    | Epoch:3 | Val Acc: 0.6829
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8679
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8382
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7727
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8070
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7905
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8115
 Best site-webcam                    | Epoch:3 | Val Acc: 0.6250
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7500
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7568
 Best site-webcam                    | Epoch:3 | Val Acc: 0.7455
 Best site-webcam                    | Epoch:3 | Val Acc: 0.6585
 Best site-dslr                      | Epoch:3 | Val Acc: 0.6667
 Best site-dslr                      | Epoch:3 | Val Acc: 0.7727
 Best site-synthetic                 | Epoch:3 | Val Acc: 0.3043
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedavg...
============ Train epoch 4 ============
 Site-amazon                        | Train Loss: 2.9777 | Train Acc: 0.7857
 Site-amazon                        | Train Loss: 2.9031 | Train Acc: 0.8649
 Site-amazon                        | Train Loss: 2.9284 | Train Acc: 0.8723
 Site-amazon                        | Train Loss: 2.9364 | Train Acc: 0.8689
 Site-amazon                        | Train Loss: 2.9479 | Train Acc: 0.8481
 Site-amazon                        | Train Loss: 2.9124 | Train Acc: 0.8447
 Site-amazon                        | Train Loss: 2.9072 | Train Acc: 0.8045
 Site-amazon                        | Train Loss: 2.9501 | Train Acc: 0.8314
 Site-amazon                        | Train Loss: 2.9419 | Train Acc: 0.8514
 Site-amazon                        | Train Loss: 2.9437 | Train Acc: 0.8258
 Site-webcam                        | Train Loss: 2.9695 | Train Acc: 0.8333
 Site-webcam                        | Train Loss: 3.0188 | Train Acc: 0.7568
 Site-webcam                        | Train Loss: 2.9758 | Train Acc: 0.8182
 Site-webcam                        | Train Loss: 3.0028 | Train Acc: 0.7349
 Site-webcam                        | Train Loss: 3.0023 | Train Acc: 0.7823
 Site-dslr                          | Train Loss: 3.0537 | Train Acc: 0.7600
 Site-dslr                          | Train Loss: 2.9857 | Train Acc: 0.7500
 Site-synthetic                     | Train Loss: 3.1994 | Train Acc: 0.3478
Average Train Accuracy: 0.7878
 Site-amazon                        | Val  Loss: 2.8825 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 2.9227 | Val  Acc: 0.7917
 Site-amazon                        | Val  Loss: 2.9762 | Val  Acc: 0.7097
 Site-amazon                        | Val  Loss: 2.9927 | Val  Acc: 0.9024
 Site-amazon                        | Val  Loss: 2.9425 | Val  Acc: 0.8491
 Site-amazon                        | Val  Loss: 2.9213 | Val  Acc: 0.8824
 Site-amazon                        | Val  Loss: 2.9187 | Val  Acc: 0.8523
 Site-amazon                        | Val  Loss: 2.9458 | Val  Acc: 0.7895
 Site-amazon                        | Val  Loss: 2.9327 | Val  Acc: 0.7838
 Site-amazon                        | Val  Loss: 2.9379 | Val  Acc: 0.8220
 Site-webcam                        | Val  Loss: 2.9779 | Val  Acc: 0.6875
 Site-webcam                        | Val  Loss: 2.9845 | Val  Acc: 0.7500
 Site-webcam                        | Val  Loss: 2.9996 | Val  Acc: 0.7838
 Site-webcam                        | Val  Loss: 2.9891 | Val  Acc: 0.7818
 Site-webcam                        | Val  Loss: 2.9811 | Val  Acc: 0.7805
 Site-dslr                          | Val  Loss: 3.0390 | Val  Acc: 0.6364
 Site-dslr                          | Val  Loss: 3.0201 | Val  Acc: 0.7576
 Site-synthetic                     | Val  Loss: 3.2642 | Val  Acc: 0.3043
Average Valid Accuracy: 0.7703
 Best site-amazon                    | Epoch:4 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:4 | Val Acc: 0.7917
 Best site-amazon                    | Epoch:4 | Val Acc: 0.7097
 Best site-amazon                    | Epoch:4 | Val Acc: 0.9024
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8491
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8824
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8523
 Best site-amazon                    | Epoch:4 | Val Acc: 0.7895
 Best site-amazon                    | Epoch:4 | Val Acc: 0.7838
 Best site-amazon                    | Epoch:4 | Val Acc: 0.8220
 Best site-webcam                    | Epoch:4 | Val Acc: 0.6875
 Best site-webcam                    | Epoch:4 | Val Acc: 0.7500
 Best site-webcam                    | Epoch:4 | Val Acc: 0.7838
 Best site-webcam                    | Epoch:4 | Val Acc: 0.7818
 Best site-webcam                    | Epoch:4 | Val Acc: 0.7805
 Best site-dslr                      | Epoch:4 | Val Acc: 0.6364
 Best site-dslr                      | Epoch:4 | Val Acc: 0.7576
 Best site-synthetic                 | Epoch:4 | Val Acc: 0.3043
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedavg...
============ Train epoch 5 ============
 Site-amazon                        | Train Loss: 2.8660 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 2.8100 | Train Acc: 0.8919
 Site-amazon                        | Train Loss: 2.8244 | Train Acc: 0.8723
 Site-amazon                        | Train Loss: 2.8373 | Train Acc: 0.8361
 Site-amazon                        | Train Loss: 2.8452 | Train Acc: 0.8228
 Site-amazon                        | Train Loss: 2.8321 | Train Acc: 0.8835
 Site-amazon                        | Train Loss: 2.8891 | Train Acc: 0.8722
 Site-amazon                        | Train Loss: 2.8422 | Train Acc: 0.8837
 Site-amazon                        | Train Loss: 2.8372 | Train Acc: 0.8694
 Site-amazon                        | Train Loss: 2.8515 | Train Acc: 0.8432
 Site-webcam                        | Train Loss: 2.8708 | Train Acc: 0.8333
 Site-webcam                        | Train Loss: 2.9194 | Train Acc: 0.7568
 Site-webcam                        | Train Loss: 2.8842 | Train Acc: 0.8545
 Site-webcam                        | Train Loss: 2.9329 | Train Acc: 0.7831
 Site-webcam                        | Train Loss: 2.9091 | Train Acc: 0.7984
 Site-dslr                          | Train Loss: 2.9629 | Train Acc: 0.8000
 Site-dslr                          | Train Loss: 2.9115 | Train Acc: 0.8300
 Site-synthetic                     | Train Loss: 3.1968 | Train Acc: 0.3768
Average Train Accuracy: 0.8147
 Site-amazon                        | Val  Loss: 2.7636 | Val  Acc: 0.9474
 Site-amazon                        | Val  Loss: 2.8192 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 2.8783 | Val  Acc: 0.7742
 Site-amazon                        | Val  Loss: 2.9121 | Val  Acc: 0.8293
 Site-amazon                        | Val  Loss: 2.8726 | Val  Acc: 0.8679
 Site-amazon                        | Val  Loss: 2.8173 | Val  Acc: 0.8824
 Site-amazon                        | Val  Loss: 2.8185 | Val  Acc: 0.8864
 Site-amazon                        | Val  Loss: 2.8661 | Val  Acc: 0.8158
 Site-amazon                        | Val  Loss: 2.8293 | Val  Acc: 0.8851
 Site-amazon                        | Val  Loss: 2.8408 | Val  Acc: 0.8534
 Site-webcam                        | Val  Loss: 2.9340 | Val  Acc: 0.7500
 Site-webcam                        | Val  Loss: 2.8859 | Val  Acc: 0.8750
 Site-webcam                        | Val  Loss: 2.8750 | Val  Acc: 0.8649
 Site-webcam                        | Val  Loss: 2.9150 | Val  Acc: 0.7273
 Site-webcam                        | Val  Loss: 2.9020 | Val  Acc: 0.7927
 Site-dslr                          | Val  Loss: 2.9277 | Val  Acc: 0.7879
 Site-dslr                          | Val  Loss: 2.9006 | Val  Acc: 0.7879
 Site-synthetic                     | Val  Loss: 3.2067 | Val  Acc: 0.3696
Average Valid Accuracy: 0.8072
 Best site-amazon                    | Epoch:5 | Val Acc: 0.9474
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8333
 Best site-amazon                    | Epoch:5 | Val Acc: 0.7742
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8293
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8679
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8824
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8864
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8158
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8851
 Best site-amazon                    | Epoch:5 | Val Acc: 0.8534
 Best site-webcam                    | Epoch:5 | Val Acc: 0.7500
 Best site-webcam                    | Epoch:5 | Val Acc: 0.8750
 Best site-webcam                    | Epoch:5 | Val Acc: 0.8649
 Best site-webcam                    | Epoch:5 | Val Acc: 0.7273
 Best site-webcam                    | Epoch:5 | Val Acc: 0.7927
 Best site-dslr                      | Epoch:5 | Val Acc: 0.7879
 Best site-dslr                      | Epoch:5 | Val Acc: 0.7879
 Best site-synthetic                 | Epoch:5 | Val Acc: 0.3696
 Saving the local and server checkpoint to ../checkpoint/fed_modern_uneven_2.16_1/fedavg...
============ Train epoch 6 ============
 Site-amazon                        | Train Loss: 2.7635 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 2.7190 | Train Acc: 0.8919
 Site-amazon                        | Train Loss: 2.7301 | Train Acc: 0.9362
 Site-amazon                        | Train Loss: 2.7439 | Train Acc: 0.8689
 Site-amazon                        | Train Loss: 2.7220 | Train Acc: 0.9367
 Site-amazon                        | Train Loss: 2.7198 | Train Acc: 0.9223
 Site-amazon                        | Train Loss: 2.7328 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 2.7598 | Train Acc: 0.8953
 Site-amazon                        | Train Loss: 2.7433 | Train Acc: 0.8829
 Site-amazon                        | Train Loss: 2.7507 | Train Acc: 0.8920
 Site-webcam                        | Train Loss: 2.8162 | Train Acc: 0.7500
 Site-webcam                        | Train Loss: 2.8337 | Train Acc: 0.7838
 Site-webcam                        | Train Loss: 2.8095 | Train Acc: 0.8182
 Site-webcam                        | Train Loss: 2.8280 | Train Acc: 0.8193
 Site-webcam                        | Train Loss: 2.8442 | Train Acc: 0.8306
 Site-dslr                          | Train Loss: 2.8893 | Train Acc: 0.7800
 Site-dslr                          | Train Loss: 2.8141 | Train Acc: 0.8100
 Site-synthetic                     | Train Loss: 3.0993 | Train Acc: 0.4493
Average Train Accuracy: 0.8323
 Site-amazon                        | Val  Loss: 2.6424 | Val  Acc: 1.0000
 Site-amazon                        | Val  Loss: 2.7045 | Val  Acc: 0.8333
 Site-amazon                        | Val  Loss: 2.8184 | Val  Acc: 0.7419
 Site-amazon                        | Val  Loss: 2.8197 | Val  Acc: 0.7805
 Site-amazon                        | Val  Loss: 2.7459 | Val  Acc: 0.9057
 Site-amazon                        | Val  Loss: 2.6775 | Val  Acc: 0.8971
 Site-amazon                        | Val  Loss: 2.7391 | Val  Acc: 0.8977
 Site-amazon                        | Val  Loss: 2.7568 | Val  Acc: 0.8421
 Site-amazon                        | Val  Loss: 2.7289 | Val  Acc: 0.8649
 Site-amazon                        | Val  Loss: 2.7352 | Val  Acc: 0.9110
 Site-webcam                        | Val  Loss: 2.7814 | Val  Acc: 0.8750
 Site-webcam                        | Val  Loss: 2.8187 | Val  Acc: 0.8333
 Site-webcam                        | Val  Loss: 2.7935 | Val  Acc: 0.8919
 Site-webcam                        | Val  Loss: 2.8375 | Val  Acc: 0.8182
 Site-webcam                        | Val  Loss: 2.8114 | Val  Acc: 0.8293
 Site-dslr                          | Val  Loss: 2.8614 | Val  Acc: 0.7576
 Site-dslr                          | Val  Loss: 2.7979 | Val  Acc: 0.8030
 Site-synthetic                     | Val  Loss: 3.1833 | Val  Acc: 0.3478
Average Valid Accuracy: 0.8239
 Best site-amazon                    | Epoch:6 | Val Acc: 1.0000
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8333
 Best site-amazon                    | Epoch:6 | Val Acc: 0.7419
 Best site-amazon                    | Epoch:6 | Val Acc: 0.7805
 Best site-amazon                    | Epoch:6 | Val Acc: 0.9057
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8971
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8977
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8421
 Best site-amazon                    | Epoch:6 | Val Acc: 0.8649
 Best site-amazon                    | Epoch:6 | Val Acc: 0.9110
 Best site-webcam                    | Epoch:6 | Val Acc: 0.8750
 Best site-webcam                    | Epoch:6 | Val Acc: 0.8333
 Best site-webcam                    | Epoch:6 | Val Acc: 0.8919
 Best site-webcam                    | Epoch:6 | Val Acc: 0.8182
