===2023-08-06 12:40:52===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 20
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[9,12,15,20,25,33,43,55,72,93,11,15,21,30,41,57,79,13,20,29,44,66,20,35,62,27,54,55,37,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[635,431,293,199,135,92,62,]
domain number = 7
============ Train epoch 0 ============
 Site-RealWorld                     | Train Loss: 2.1121 | Train Acc: 0.7778
 Best site-RealWorld                 | Epoch:0 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:0 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.7692
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8235
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.9091
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8929
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8919
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8958
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.8065
 Best site-caltech                   | Epoch:0 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:0 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:0 | Val Acc: 0.7857
 Best site-caltech                   | Epoch:0 | Val Acc: 0.8500
 Best site-caltech                   | Epoch:0 | Val Acc: 0.8889
 Best site-caltech                   | Epoch:0 | Val Acc: 0.9211
 Best site-caltech                   | Epoch:0 | Val Acc: 0.8302
 Best site-Product                   | Epoch:0 | Val Acc: 0.8750
 Best site-Product                   | Epoch:0 | Val Acc: 1.0000
 Best site-Product                   | Epoch:0 | Val Acc: 1.0000
 Best site-Product                   | Epoch:0 | Val Acc: 0.9310
 Best site-Product                   | Epoch:0 | Val Acc: 0.7727
 Best site-amazon                    | Epoch:0 | Val Acc: 0.7692
 Best site-amazon                    | Epoch:0 | Val Acc: 0.7826
 Best site-amazon                    | Epoch:0 | Val Acc: 0.7805
 Best site-webcam                    | Epoch:0 | Val Acc: 0.7778
 Best site-webcam                    | Epoch:0 | Val Acc: 0.8333
 Best site-Art                       | Epoch:0 | Val Acc: 0.7222
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.6667
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedsam...
============ Train epoch 1 ============
 Site-RealWorld                     | Train Loss: 1.7735 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 1.7059 | Train Acc: 0.9167
 Site-RealWorld                     | Train Loss: 1.6335 | Train Acc: 0.8667
 Site-RealWorld                     | Train Loss: 1.6440 | Train Acc: 0.9500
 Site-RealWorld                     | Train Loss: 1.6292 | Train Acc: 0.8800
 Site-RealWorld                     | Train Loss: 1.6501 | Train Acc: 0.8788
 Site-RealWorld                     | Train Loss: 1.5745 | Train Acc: 0.9767
 Site-RealWorld                     | Train Loss: 1.5982 | Train Acc: 0.9636
 Site-RealWorld                     | Train Loss: 1.6459 | Train Acc: 0.9444
 Site-RealWorld                     | Train Loss: 1.5451 | Train Acc: 0.9892
 Site-caltech                       | Train Loss: 1.7099 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 1.7066 | Train Acc: 0.8667
 Site-caltech                       | Train Loss: 1.6697 | Train Acc: 0.8571
 Site-caltech                       | Train Loss: 1.7496 | Train Acc: 0.8667
 Site-caltech                       | Train Loss: 1.6554 | Train Acc: 0.9268
 Site-caltech                       | Train Loss: 1.6269 | Train Acc: 0.9825
 Site-caltech                       | Train Loss: 1.6669 | Train Acc: 0.9620
 Site-Product                       | Train Loss: 1.5260 | Train Acc: 0.9231
 Site-Product                       | Train Loss: 1.5718 | Train Acc: 0.9500
 Site-Product                       | Train Loss: 1.7247 | Train Acc: 0.8621
 Site-Product                       | Train Loss: 1.6137 | Train Acc: 0.9318
 Site-Product                       | Train Loss: 1.4246 | Train Acc: 0.9545
 Site-amazon                        | Train Loss: 1.5162 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 1.6948 | Train Acc: 0.8286
 Site-amazon                        | Train Loss: 1.6509 | Train Acc: 0.9032
 Site-webcam                        | Train Loss: 1.6474 | Train Acc: 0.9259
 Site-webcam                        | Train Loss: 1.6309 | Train Acc: 0.9630
 Site-Art                           | Train Loss: 1.8084 | Train Acc: 0.7636
 Site-Clipart                       | Train Loss: 1.8737 | Train Acc: 0.7297
Average Train Accuracy: 0.9143
 Site-RealWorld                     | Val  Loss: 1.4999 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.4324 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.6391 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.7324 | Val  Acc: 0.8462
 Site-RealWorld                     | Val  Loss: 1.7517 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.6346 | Val  Acc: 0.9545
 Site-RealWorld                     | Val  Loss: 1.5978 | Val  Acc: 0.9286
 Site-RealWorld                     | Val  Loss: 1.5925 | Val  Acc: 0.9459
 Site-RealWorld                     | Val  Loss: 1.5833 | Val  Acc: 0.9375
 Site-RealWorld                     | Val  Loss: 1.6579 | Val  Acc: 0.8710
 Site-caltech                       | Val  Loss: 1.6486 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.6771 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.7052 | Val  Acc: 0.9286
 Site-caltech                       | Val  Loss: 1.6888 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.5837 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.6171 | Val  Acc: 0.9737
 Site-caltech                       | Val  Loss: 1.7050 | Val  Acc: 0.9245
 Site-Product                       | Val  Loss: 1.5266 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 1.5058 | Val  Acc: 0.9231
 Site-Product                       | Val  Loss: 1.4947 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 1.5604 | Val  Acc: 0.9310
 Site-Product                       | Val  Loss: 1.6104 | Val  Acc: 0.8864
 Site-amazon                        | Val  Loss: 1.6063 | Val  Acc: 0.8462
 Site-amazon                        | Val  Loss: 1.7274 | Val  Acc: 0.8261
 Site-amazon                        | Val  Loss: 1.7168 | Val  Acc: 0.8780
 Site-webcam                        | Val  Loss: 1.6232 | Val  Acc: 1.0000
 Site-webcam                        | Val  Loss: 1.6606 | Val  Acc: 0.8889
 Site-Art                           | Val  Loss: 1.8956 | Val  Acc: 0.7778
 Site-Clipart                       | Val  Loss: 1.7965 | Val  Acc: 0.7500
Average Valid Accuracy: 0.9317
 Best site-RealWorld                 | Epoch:1 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.8462
 Best site-RealWorld                 | Epoch:1 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.9545
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.9286
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.9459
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.9375
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.8710
 Best site-caltech                   | Epoch:1 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:1 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:1 | Val Acc: 0.9286
 Best site-caltech                   | Epoch:1 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:1 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:1 | Val Acc: 0.9737
 Best site-caltech                   | Epoch:1 | Val Acc: 0.9245
 Best site-Product                   | Epoch:1 | Val Acc: 1.0000
 Best site-Product                   | Epoch:1 | Val Acc: 0.9231
 Best site-Product                   | Epoch:1 | Val Acc: 1.0000
 Best site-Product                   | Epoch:1 | Val Acc: 0.9310
 Best site-Product                   | Epoch:1 | Val Acc: 0.8864
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8462
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8261
 Best site-amazon                    | Epoch:1 | Val Acc: 0.8780
 Best site-webcam                    | Epoch:1 | Val Acc: 1.0000
 Best site-webcam                    | Epoch:1 | Val Acc: 0.8889
 Best site-Art                       | Epoch:1 | Val Acc: 0.7778
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.7500
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedsam...
============ Train epoch 2 ============
 Site-RealWorld                     | Train Loss: 1.3701 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 1.3079 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 1.2138 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 1.2806 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 1.2513 | Train Acc: 0.8800
 Site-RealWorld                     | Train Loss: 1.3211 | Train Acc: 0.9394
 Site-RealWorld                     | Train Loss: 1.2122 | Train Acc: 0.9535
 Site-RealWorld                     | Train Loss: 1.2405 | Train Acc: 0.9818
 Site-RealWorld                     | Train Loss: 1.2804 | Train Acc: 0.9583
 Site-RealWorld                     | Train Loss: 1.2067 | Train Acc: 0.9892
 Site-caltech                       | Train Loss: 1.4094 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 1.3842 | Train Acc: 0.8667
 Site-caltech                       | Train Loss: 1.2780 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 1.4198 | Train Acc: 0.9000
 Site-caltech                       | Train Loss: 1.2853 | Train Acc: 0.9512
 Site-caltech                       | Train Loss: 1.2765 | Train Acc: 0.9649
 Site-caltech                       | Train Loss: 1.4213 | Train Acc: 0.9494
 Site-Product                       | Train Loss: 1.2464 | Train Acc: 0.9231
 Site-Product                       | Train Loss: 1.2383 | Train Acc: 0.9500
 Site-Product                       | Train Loss: 1.3794 | Train Acc: 0.8966
 Site-Product                       | Train Loss: 1.2415 | Train Acc: 0.9545
 Site-Product                       | Train Loss: 1.0694 | Train Acc: 0.9848
 Site-amazon                        | Train Loss: 1.1363 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 1.3671 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 1.3231 | Train Acc: 0.8548
 Site-webcam                        | Train Loss: 1.2735 | Train Acc: 0.9630
 Site-webcam                        | Train Loss: 1.2857 | Train Acc: 0.9630
 Site-Art                           | Train Loss: 1.5763 | Train Acc: 0.8000
 Site-Clipart                       | Train Loss: 1.5856 | Train Acc: 0.7568
Average Train Accuracy: 0.9375
 Site-RealWorld                     | Val  Loss: 1.2189 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 0.9876 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.2282 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.3913 | Val  Acc: 0.9231
 Site-RealWorld                     | Val  Loss: 1.4544 | Val  Acc: 0.9412
 Site-RealWorld                     | Val  Loss: 1.2536 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.2343 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.1979 | Val  Acc: 0.9730
 Site-RealWorld                     | Val  Loss: 1.2104 | Val  Acc: 0.9792
 Site-RealWorld                     | Val  Loss: 1.2974 | Val  Acc: 0.9677
 Site-caltech                       | Val  Loss: 1.2806 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.2979 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.3615 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.3394 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.2477 | Val  Acc: 0.9630
 Site-caltech                       | Val  Loss: 1.2304 | Val  Acc: 0.9474
 Site-caltech                       | Val  Loss: 1.3561 | Val  Acc: 0.9623
 Site-Product                       | Val  Loss: 1.1471 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 1.1271 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 1.0945 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 1.1836 | Val  Acc: 0.9310
 Site-Product                       | Val  Loss: 1.2618 | Val  Acc: 0.8864
 Site-amazon                        | Val  Loss: 1.2915 | Val  Acc: 0.8462
 Site-amazon                        | Val  Loss: 1.4651 | Val  Acc: 0.8261
 Site-amazon                        | Val  Loss: 1.4032 | Val  Acc: 0.8537
 Site-webcam                        | Val  Loss: 1.3253 | Val  Acc: 0.8889
 Site-webcam                        | Val  Loss: 1.2658 | Val  Acc: 0.9444
 Site-Art                           | Val  Loss: 1.6898 | Val  Acc: 0.8056
 Site-Clipart                       | Val  Loss: 1.5481 | Val  Acc: 0.7083
Average Valid Accuracy: 0.9430
 Best site-RealWorld                 | Epoch:2 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9231
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9412
 Best site-RealWorld                 | Epoch:2 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9730
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9792
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9677
 Best site-caltech                   | Epoch:2 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:2 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:2 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:2 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:2 | Val Acc: 0.9630
 Best site-caltech                   | Epoch:2 | Val Acc: 0.9474
 Best site-caltech                   | Epoch:2 | Val Acc: 0.9623
 Best site-Product                   | Epoch:2 | Val Acc: 1.0000
 Best site-Product                   | Epoch:2 | Val Acc: 1.0000
 Best site-Product                   | Epoch:2 | Val Acc: 1.0000
 Best site-Product                   | Epoch:2 | Val Acc: 0.9310
 Best site-Product                   | Epoch:2 | Val Acc: 0.8864
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8462
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8261
 Best site-amazon                    | Epoch:2 | Val Acc: 0.8537
 Best site-webcam                    | Epoch:2 | Val Acc: 0.8889
 Best site-webcam                    | Epoch:2 | Val Acc: 0.9444
 Best site-Art                       | Epoch:2 | Val Acc: 0.8056
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.7083
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedsam...
============ Train epoch 3 ============
 Site-RealWorld                     | Train Loss: 1.2103 | Train Acc: 0.8889
 Site-RealWorld                     | Train Loss: 1.0459 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 0.8939 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 0.9401 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 1.0062 | Train Acc: 0.9200
 Site-RealWorld                     | Train Loss: 1.0629 | Train Acc: 0.9697
 Site-RealWorld                     | Train Loss: 0.9079 | Train Acc: 0.9767
 Site-RealWorld                     | Train Loss: 0.9804 | Train Acc: 0.9455
 Site-RealWorld                     | Train Loss: 0.9588 | Train Acc: 0.9583
 Site-RealWorld                     | Train Loss: 0.9084 | Train Acc: 0.9892
 Site-caltech                       | Train Loss: 1.1659 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 1.1112 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 0.9890 | Train Acc: 0.9524
 Site-caltech                       | Train Loss: 1.1006 | Train Acc: 0.9333
 Site-caltech                       | Train Loss: 1.0429 | Train Acc: 0.9024
 Site-caltech                       | Train Loss: 0.9438 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 1.0489 | Train Acc: 0.9367
 Site-Product                       | Train Loss: 0.8429 | Train Acc: 1.0000
 Site-Product                       | Train Loss: 0.8845 | Train Acc: 1.0000
 Site-Product                       | Train Loss: 1.1040 | Train Acc: 0.8966
 Site-Product                       | Train Loss: 0.9454 | Train Acc: 0.9545
 Site-Product                       | Train Loss: 1.0458 | Train Acc: 0.9848
 Site-amazon                        | Train Loss: 0.9069 | Train Acc: 0.9500
 Site-amazon                        | Train Loss: 1.1037 | Train Acc: 0.8571
 Site-amazon                        | Train Loss: 1.0702 | Train Acc: 0.8871
 Site-webcam                        | Train Loss: 1.0191 | Train Acc: 0.9630
 Site-webcam                        | Train Loss: 0.9758 | Train Acc: 0.9815
 Site-Art                           | Train Loss: 1.2626 | Train Acc: 0.8727
 Site-Clipart                       | Train Loss: 1.3868 | Train Acc: 0.7568
Average Train Accuracy: 0.9475
 Site-RealWorld                     | Val  Loss: 0.7705 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 0.7313 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 0.9837 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 1.1093 | Val  Acc: 0.9231
 Site-RealWorld                     | Val  Loss: 1.1437 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 0.9847 | Val  Acc: 1.0000
 Site-RealWorld                     | Val  Loss: 0.9424 | Val  Acc: 0.9643
 Site-RealWorld                     | Val  Loss: 0.9047 | Val  Acc: 0.9730
 Site-RealWorld                     | Val  Loss: 0.9222 | Val  Acc: 0.9792
 Site-RealWorld                     | Val  Loss: 1.0326 | Val  Acc: 0.9839
 Site-caltech                       | Val  Loss: 0.9804 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.0659 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.1195 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 1.0300 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 0.9355 | Val  Acc: 1.0000
 Site-caltech                       | Val  Loss: 0.9441 | Val  Acc: 0.9737
 Site-caltech                       | Val  Loss: 1.0950 | Val  Acc: 0.9434
 Site-Product                       | Val  Loss: 0.8629 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 0.7446 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 0.8462 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 0.9030 | Val  Acc: 1.0000
 Site-Product                       | Val  Loss: 0.9588 | Val  Acc: 0.9318
 Site-amazon                        | Val  Loss: 1.0421 | Val  Acc: 0.8462
 Site-amazon                        | Val  Loss: 1.2224 | Val  Acc: 0.7826
 Site-amazon                        | Val  Loss: 1.1453 | Val  Acc: 0.8780
 Site-webcam                        | Val  Loss: 1.0048 | Val  Acc: 0.8889
 Site-webcam                        | Val  Loss: 1.0282 | Val  Acc: 0.9444
 Site-Art                           | Val  Loss: 1.4669 | Val  Acc: 0.8611
 Site-Clipart                       | Val  Loss: 1.2730 | Val  Acc: 0.7917
Average Valid Accuracy: 0.9540
 Best site-RealWorld                 | Epoch:3 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9231
 Best site-RealWorld                 | Epoch:3 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 1.0000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9643
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9730
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9792
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9839
 Best site-caltech                   | Epoch:3 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:3 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:3 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:3 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:3 | Val Acc: 1.0000
 Best site-caltech                   | Epoch:3 | Val Acc: 0.9737
 Best site-caltech                   | Epoch:3 | Val Acc: 0.9434
 Best site-Product                   | Epoch:3 | Val Acc: 1.0000
 Best site-Product                   | Epoch:3 | Val Acc: 1.0000
 Best site-Product                   | Epoch:3 | Val Acc: 1.0000
 Best site-Product                   | Epoch:3 | Val Acc: 1.0000
 Best site-Product                   | Epoch:3 | Val Acc: 0.9318
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8462
 Best site-amazon                    | Epoch:3 | Val Acc: 0.7826
 Best site-amazon                    | Epoch:3 | Val Acc: 0.8780
 Best site-webcam                    | Epoch:3 | Val Acc: 0.8889
 Best site-webcam                    | Epoch:3 | Val Acc: 0.9444
 Best site-Art                       | Epoch:3 | Val Acc: 0.8611
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.7917
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedsam...
============ Train epoch 4 ============
 Site-RealWorld                     | Train Loss: 0.8394 | Train Acc: 0.8889
 Site-RealWorld                     | Train Loss: 0.8324 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 0.6096 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 0.8223 | Train Acc: 1.0000
 Site-RealWorld                     | Train Loss: 0.7208 | Train Acc: 0.9200
 Site-RealWorld                     | Train Loss: 0.8143 | Train Acc: 0.9394
 Site-RealWorld                     | Train Loss: 0.6783 | Train Acc: 0.9535
 Site-RealWorld                     | Train Loss: 0.7258 | Train Acc: 0.9818
 Site-RealWorld                     | Train Loss: 0.7297 | Train Acc: 0.9722
 Site-RealWorld                     | Train Loss: 0.6933 | Train Acc: 0.9892
 Site-caltech                       | Train Loss: 0.8934 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 0.8996 | Train Acc: 0.9333
 Site-caltech                       | Train Loss: 0.7700 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 0.9787 | Train Acc: 0.9333
 Site-caltech                       | Train Loss: 0.8157 | Train Acc: 0.9268
 Site-caltech                       | Train Loss: 0.7477 | Train Acc: 1.0000
 Site-caltech                       | Train Loss: 0.9235 | Train Acc: 0.9494
 Site-Product                       | Train Loss: 0.6484 | Train Acc: 1.0000
 Site-Product                       | Train Loss: 0.6856 | Train Acc: 1.0000
 Site-Product                       | Train Loss: 0.8622 | Train Acc: 0.8966
 Site-Product                       | Train Loss: 0.7675 | Train Acc: 0.9318
 Site-Product                       | Train Loss: 0.5546 | Train Acc: 0.9697
 Site-amazon                        | Train Loss: 0.6375 | Train Acc: 1.0000
 Site-amazon                        | Train Loss: 0.8903 | Train Acc: 0.8571
