===2023-08-06 10:31:55===
===Setting===
    dataset: officecaltechhome
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 7
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,51,67,86,111,144,17,24,33,46,64,89,124,20,31,46,69,104,32,56,97,42,84,85,58,
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[986,670,456,310,211,143,97,]
domain number = 7
============ Train epoch 0 ============
 Site-RealWorld                     | Train Loss: 2.9414 | Train Acc: 0.1429
 Site-dslr                          | Val  Loss: 2.9510 | Val  Acc: 0.1053
Average Valid Accuracy: 0.0651
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0000
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.1667
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.1250
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0000
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0385
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0882
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0909
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0702
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0405
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.0521
 Best site-Product                   | Epoch:0 | Val Acc: 0.0000
 Best site-Product                   | Epoch:0 | Val Acc: 0.0625
 Best site-Product                   | Epoch:0 | Val Acc: 0.0000
 Best site-Product                   | Epoch:0 | Val Acc: 0.0323
 Best site-Product                   | Epoch:0 | Val Acc: 0.0930
 Best site-Product                   | Epoch:0 | Val Acc: 0.0678
 Best site-Product                   | Epoch:0 | Val Acc: 0.1463
 Best site-amazon                    | Epoch:0 | Val Acc: 0.0000
 Best site-amazon                    | Epoch:0 | Val Acc: 0.0000
 Best site-amazon                    | Epoch:0 | Val Acc: 0.0968
 Best site-amazon                    | Epoch:0 | Val Acc: 0.1304
 Best site-amazon                    | Epoch:0 | Val Acc: 0.0580
 Best site-webcam                    | Epoch:0 | Val Acc: 0.0476
 Best site-webcam                    | Epoch:0 | Val Acc: 0.0270
 Best site-webcam                    | Epoch:0 | Val Acc: 0.0469
 Best site-Art                       | Epoch:0 | Val Acc: 0.0714
 Best site-Art                       | Epoch:0 | Val Acc: 0.1071
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1228
 Best site-dslr                      | Epoch:0 | Val Acc: 0.1053
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedavg...
============ Train epoch 1 ============
 Site-RealWorld                     | Train Loss: 2.8994 | Train Acc: 0.2143
 Site-RealWorld                     | Train Loss: 2.9008 | Train Acc: 0.1667
 Site-RealWorld                     | Train Loss: 2.9337 | Train Acc: 0.1250
 Site-RealWorld                     | Train Loss: 2.9434 | Train Acc: 0.1613
 Site-RealWorld                     | Train Loss: 2.9101 | Train Acc: 0.1500
 Site-RealWorld                     | Train Loss: 2.9207 | Train Acc: 0.1765
 Site-RealWorld                     | Train Loss: 2.9095 | Train Acc: 0.1343
 Site-RealWorld                     | Train Loss: 2.9004 | Train Acc: 0.2093
 Site-RealWorld                     | Train Loss: 2.9063 | Train Acc: 0.2252
 Site-RealWorld                     | Train Loss: 2.8983 | Train Acc: 0.2292
 Site-Product                       | Train Loss: 2.9113 | Train Acc: 0.0588
 Site-Product                       | Train Loss: 2.8842 | Train Acc: 0.3750
 Site-Product                       | Train Loss: 2.8946 | Train Acc: 0.1212
 Site-Product                       | Train Loss: 2.8930 | Train Acc: 0.2174
 Site-Product                       | Train Loss: 2.9096 | Train Acc: 0.1562
 Site-Product                       | Train Loss: 2.9058 | Train Acc: 0.1910
 Site-Product                       | Train Loss: 2.8857 | Train Acc: 0.2581
 Site-amazon                        | Train Loss: 2.9022 | Train Acc: 0.1500
 Site-amazon                        | Train Loss: 2.8853 | Train Acc: 0.2903
 Site-amazon                        | Train Loss: 2.8998 | Train Acc: 0.1522
 Site-amazon                        | Train Loss: 2.9165 | Train Acc: 0.1739
 Site-amazon                        | Train Loss: 2.9122 | Train Acc: 0.2500
 Site-webcam                        | Train Loss: 2.8886 | Train Acc: 0.2812
 Site-webcam                        | Train Loss: 2.9172 | Train Acc: 0.1607
 Site-webcam                        | Train Loss: 2.9070 | Train Acc: 0.1753
 Site-Art                           | Train Loss: 2.9435 | Train Acc: 0.0952
 Site-Art                           | Train Loss: 2.9283 | Train Acc: 0.1548
 Site-Clipart                       | Train Loss: 2.9144 | Train Acc: 0.1176
 Site-dslr                          | Train Loss: 2.8830 | Train Acc: 0.2759
Average Train Accuracy: 0.1878
 Site-RealWorld                     | Val  Loss: 2.9304 | Val  Acc: 0.1111
 Site-RealWorld                     | Val  Loss: 2.8977 | Val  Acc: 0.2500
 Site-RealWorld                     | Val  Loss: 2.8868 | Val  Acc: 0.2500
 Site-RealWorld                     | Val  Loss: 2.9112 | Val  Acc: 0.3000
 Site-RealWorld                     | Val  Loss: 2.9297 | Val  Acc: 0.0385
 Site-RealWorld                     | Val  Loss: 2.9344 | Val  Acc: 0.1176
 Site-RealWorld                     | Val  Loss: 2.8952 | Val  Acc: 0.2045
 Site-RealWorld                     | Val  Loss: 2.9108 | Val  Acc: 0.1930
 Site-RealWorld                     | Val  Loss: 2.9134 | Val  Acc: 0.2297
 Site-RealWorld                     | Val  Loss: 2.9043 | Val  Acc: 0.2292
 Site-Product                       | Val  Loss: 2.9084 | Val  Acc: 0.3636
 Site-Product                       | Val  Loss: 2.9080 | Val  Acc: 0.2500
 Site-Product                       | Val  Loss: 2.9295 | Val  Acc: 0.1364
 Site-Product                       | Val  Loss: 2.9333 | Val  Acc: 0.1613
 Site-Product                       | Val  Loss: 2.9002 | Val  Acc: 0.2558
 Site-Product                       | Val  Loss: 2.9193 | Val  Acc: 0.1525
 Site-Product                       | Val  Loss: 2.9066 | Val  Acc: 0.2195
 Site-amazon                        | Val  Loss: 2.9197 | Val  Acc: 0.0000
 Site-amazon                        | Val  Loss: 2.9305 | Val  Acc: 0.2000
 Site-amazon                        | Val  Loss: 2.8980 | Val  Acc: 0.1935
 Site-amazon                        | Val  Loss: 2.8866 | Val  Acc: 0.2609
 Site-amazon                        | Val  Loss: 2.9168 | Val  Acc: 0.1739
 Site-webcam                        | Val  Loss: 2.9189 | Val  Acc: 0.0952
 Site-webcam                        | Val  Loss: 2.8947 | Val  Acc: 0.2162
 Site-webcam                        | Val  Loss: 2.9124 | Val  Acc: 0.1562
 Site-Art                           | Val  Loss: 2.9317 | Val  Acc: 0.2500
 Site-Art                           | Val  Loss: 2.9314 | Val  Acc: 0.1964
 Site-Clipart                       | Val  Loss: 2.8974 | Val  Acc: 0.2105
 Site-dslr                          | Val  Loss: 2.8868 | Val  Acc: 0.2632
Average Valid Accuracy: 0.1958
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.1111
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.2500
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.2500
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.3000
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.0385
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.1176
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.2045
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.1930
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.2297
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.2292
 Best site-Product                   | Epoch:1 | Val Acc: 0.3636
 Best site-Product                   | Epoch:1 | Val Acc: 0.2500
 Best site-Product                   | Epoch:1 | Val Acc: 0.1364
 Best site-Product                   | Epoch:1 | Val Acc: 0.1613
 Best site-Product                   | Epoch:1 | Val Acc: 0.2558
 Best site-Product                   | Epoch:1 | Val Acc: 0.1525
 Best site-Product                   | Epoch:1 | Val Acc: 0.2195
 Best site-amazon                    | Epoch:1 | Val Acc: 0.0000
 Best site-amazon                    | Epoch:1 | Val Acc: 0.2000
 Best site-amazon                    | Epoch:1 | Val Acc: 0.1935
 Best site-amazon                    | Epoch:1 | Val Acc: 0.2609
 Best site-amazon                    | Epoch:1 | Val Acc: 0.1739
 Best site-webcam                    | Epoch:1 | Val Acc: 0.0952
 Best site-webcam                    | Epoch:1 | Val Acc: 0.2162
 Best site-webcam                    | Epoch:1 | Val Acc: 0.1562
 Best site-Art                       | Epoch:1 | Val Acc: 0.2500
 Best site-Art                       | Epoch:1 | Val Acc: 0.1964
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.2105
 Best site-dslr                      | Epoch:1 | Val Acc: 0.2632
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedavg...
============ Train epoch 2 ============
 Site-RealWorld                     | Train Loss: 2.8329 | Train Acc: 0.2143
 Site-RealWorld                     | Train Loss: 2.8304 | Train Acc: 0.2778
 Site-RealWorld                     | Train Loss: 2.8815 | Train Acc: 0.3750
 Site-RealWorld                     | Train Loss: 2.8790 | Train Acc: 0.2581
 Site-RealWorld                     | Train Loss: 2.8546 | Train Acc: 0.3000
 Site-RealWorld                     | Train Loss: 2.8616 | Train Acc: 0.3922
 Site-RealWorld                     | Train Loss: 2.8266 | Train Acc: 0.3433
 Site-RealWorld                     | Train Loss: 2.8499 | Train Acc: 0.3953
 Site-RealWorld                     | Train Loss: 2.8502 | Train Acc: 0.3604
 Site-RealWorld                     | Train Loss: 2.8137 | Train Acc: 0.4514
 Site-Product                       | Train Loss: 2.8298 | Train Acc: 0.4706
 Site-Product                       | Train Loss: 2.8386 | Train Acc: 0.4583
 Site-Product                       | Train Loss: 2.8453 | Train Acc: 0.4242
 Site-Product                       | Train Loss: 2.8376 | Train Acc: 0.3696
 Site-Product                       | Train Loss: 2.8517 | Train Acc: 0.3594
 Site-Product                       | Train Loss: 2.8610 | Train Acc: 0.3820
 Site-Product                       | Train Loss: 2.8401 | Train Acc: 0.4355
 Site-amazon                        | Train Loss: 2.8558 | Train Acc: 0.3500
 Site-amazon                        | Train Loss: 2.8460 | Train Acc: 0.4839
 Site-amazon                        | Train Loss: 2.8389 | Train Acc: 0.4565
 Site-amazon                        | Train Loss: 2.8563 | Train Acc: 0.3768
 Site-amazon                        | Train Loss: 2.8610 | Train Acc: 0.3942
 Site-webcam                        | Train Loss: 2.8424 | Train Acc: 0.4062
 Site-webcam                        | Train Loss: 2.8573 | Train Acc: 0.4107
 Site-webcam                        | Train Loss: 2.8589 | Train Acc: 0.3608
 Site-Art                           | Train Loss: 2.8869 | Train Acc: 0.1667
 Site-Art                           | Train Loss: 2.8811 | Train Acc: 0.2500
 Site-Clipart                       | Train Loss: 2.8883 | Train Acc: 0.2941
 Site-dslr                          | Train Loss: 2.8384 | Train Acc: 0.4483
Average Train Accuracy: 0.3678
 Site-RealWorld                     | Val  Loss: 2.8469 | Val  Acc: 0.4444
 Site-RealWorld                     | Val  Loss: 2.8463 | Val  Acc: 0.3333
 Site-RealWorld                     | Val  Loss: 2.8607 | Val  Acc: 0.5000
 Site-RealWorld                     | Val  Loss: 2.8911 | Val  Acc: 0.3500
 Site-RealWorld                     | Val  Loss: 2.8819 | Val  Acc: 0.2308
 Site-RealWorld                     | Val  Loss: 2.8672 | Val  Acc: 0.3235
 Site-RealWorld                     | Val  Loss: 2.8415 | Val  Acc: 0.4318
 Site-RealWorld                     | Val  Loss: 2.8522 | Val  Acc: 0.3684
 Site-RealWorld                     | Val  Loss: 2.8693 | Val  Acc: 0.3919
 Site-RealWorld                     | Val  Loss: 2.8553 | Val  Acc: 0.3958
 Site-Product                       | Val  Loss: 2.8255 | Val  Acc: 0.4545
 Site-Product                       | Val  Loss: 2.8364 | Val  Acc: 0.5625
 Site-Product                       | Val  Loss: 2.8597 | Val  Acc: 0.4545
 Site-Product                       | Val  Loss: 2.8624 | Val  Acc: 0.4194
 Site-Product                       | Val  Loss: 2.8456 | Val  Acc: 0.3721
 Site-Product                       | Val  Loss: 2.8569 | Val  Acc: 0.3729
 Site-Product                       | Val  Loss: 2.8418 | Val  Acc: 0.3902
 Site-amazon                        | Val  Loss: 2.8754 | Val  Acc: 0.3846
 Site-amazon                        | Val  Loss: 2.8934 | Val  Acc: 0.2500
 Site-amazon                        | Val  Loss: 2.8453 | Val  Acc: 0.3871
 Site-amazon                        | Val  Loss: 2.8178 | Val  Acc: 0.5000
 Site-amazon                        | Val  Loss: 2.8632 | Val  Acc: 0.4203
 Site-webcam                        | Val  Loss: 2.8664 | Val  Acc: 0.3333
 Site-webcam                        | Val  Loss: 2.8711 | Val  Acc: 0.3243
 Site-webcam                        | Val  Loss: 2.8567 | Val  Acc: 0.3906
 Site-Art                           | Val  Loss: 2.8673 | Val  Acc: 0.3929
 Site-Art                           | Val  Loss: 2.8838 | Val  Acc: 0.3036
 Site-Clipart                       | Val  Loss: 2.8568 | Val  Acc: 0.3333
 Site-dslr                          | Val  Loss: 2.8168 | Val  Acc: 0.4474
Average Valid Accuracy: 0.3884
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.4444
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3333
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.5000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3500
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.2308
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3235
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.4318
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3684
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3919
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.3958
 Best site-Product                   | Epoch:2 | Val Acc: 0.4545
 Best site-Product                   | Epoch:2 | Val Acc: 0.5625
 Best site-Product                   | Epoch:2 | Val Acc: 0.4545
 Best site-Product                   | Epoch:2 | Val Acc: 0.4194
 Best site-Product                   | Epoch:2 | Val Acc: 0.3721
 Best site-Product                   | Epoch:2 | Val Acc: 0.3729
 Best site-Product                   | Epoch:2 | Val Acc: 0.3902
 Best site-amazon                    | Epoch:2 | Val Acc: 0.3846
 Best site-amazon                    | Epoch:2 | Val Acc: 0.2500
 Best site-amazon                    | Epoch:2 | Val Acc: 0.3871
 Best site-amazon                    | Epoch:2 | Val Acc: 0.5000
 Best site-amazon                    | Epoch:2 | Val Acc: 0.4203
 Best site-webcam                    | Epoch:2 | Val Acc: 0.3333
 Best site-webcam                    | Epoch:2 | Val Acc: 0.3243
 Best site-webcam                    | Epoch:2 | Val Acc: 0.3906
 Best site-Art                       | Epoch:2 | Val Acc: 0.3929
 Best site-Art                       | Epoch:2 | Val Acc: 0.3036
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.3333
 Best site-dslr                      | Epoch:2 | Val Acc: 0.4474
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedavg...
============ Train epoch 3 ============
 Site-RealWorld                     | Train Loss: 2.7821 | Train Acc: 0.5000
 Site-RealWorld                     | Train Loss: 2.7874 | Train Acc: 0.4444
 Site-RealWorld                     | Train Loss: 2.8471 | Train Acc: 0.3750
 Site-RealWorld                     | Train Loss: 2.8345 | Train Acc: 0.3548
 Site-RealWorld                     | Train Loss: 2.7989 | Train Acc: 0.5250
 Site-RealWorld                     | Train Loss: 2.8118 | Train Acc: 0.5686
 Site-RealWorld                     | Train Loss: 2.8165 | Train Acc: 0.4627
 Site-RealWorld                     | Train Loss: 2.8090 | Train Acc: 0.5930
 Site-RealWorld                     | Train Loss: 2.7945 | Train Acc: 0.5405
 Site-RealWorld                     | Train Loss: 2.7720 | Train Acc: 0.6250
 Site-Product                       | Train Loss: 2.7894 | Train Acc: 0.7647
 Site-Product                       | Train Loss: 2.7939 | Train Acc: 0.5000
 Site-Product                       | Train Loss: 2.8075 | Train Acc: 0.5152
 Site-Product                       | Train Loss: 2.7857 | Train Acc: 0.5217
 Site-Product                       | Train Loss: 2.7955 | Train Acc: 0.5469
 Site-Product                       | Train Loss: 2.8075 | Train Acc: 0.5843
 Site-Product                       | Train Loss: 2.7748 | Train Acc: 0.5726
 Site-amazon                        | Train Loss: 2.7877 | Train Acc: 0.4500
 Site-amazon                        | Train Loss: 2.7763 | Train Acc: 0.5806
 Site-amazon                        | Train Loss: 2.7954 | Train Acc: 0.5652
 Site-amazon                        | Train Loss: 2.7885 | Train Acc: 0.6377
 Site-amazon                        | Train Loss: 2.8177 | Train Acc: 0.5865
 Site-webcam                        | Train Loss: 2.7774 | Train Acc: 0.7188
 Site-webcam                        | Train Loss: 2.7935 | Train Acc: 0.5000
 Site-webcam                        | Train Loss: 2.8066 | Train Acc: 0.5773
 Site-Art                           | Train Loss: 2.8606 | Train Acc: 0.2857
 Site-Art                           | Train Loss: 2.8539 | Train Acc: 0.3571
 Site-Clipart                       | Train Loss: 2.8391 | Train Acc: 0.3412
 Site-dslr                          | Train Loss: 2.7718 | Train Acc: 0.6379
Average Train Accuracy: 0.5253
 Site-RealWorld                     | Val  Loss: 2.8136 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 2.7838 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 2.7858 | Val  Acc: 0.8125
 Site-RealWorld                     | Val  Loss: 2.8241 | Val  Acc: 0.5000
 Site-RealWorld                     | Val  Loss: 2.8282 | Val  Acc: 0.3846
 Site-RealWorld                     | Val  Loss: 2.8106 | Val  Acc: 0.5294
 Site-RealWorld                     | Val  Loss: 2.7938 | Val  Acc: 0.5455
 Site-RealWorld                     | Val  Loss: 2.8045 | Val  Acc: 0.5614
 Site-RealWorld                     | Val  Loss: 2.8310 | Val  Acc: 0.4595
 Site-RealWorld                     | Val  Loss: 2.8029 | Val  Acc: 0.4896
 Site-Product                       | Val  Loss: 2.7557 | Val  Acc: 0.6364
 Site-Product                       | Val  Loss: 2.7825 | Val  Acc: 0.5625
 Site-Product                       | Val  Loss: 2.7973 | Val  Acc: 0.5909
 Site-Product                       | Val  Loss: 2.7916 | Val  Acc: 0.5484
 Site-Product                       | Val  Loss: 2.8000 | Val  Acc: 0.5581
 Site-Product                       | Val  Loss: 2.7893 | Val  Acc: 0.5763
 Site-Product                       | Val  Loss: 2.7885 | Val  Acc: 0.5732
 Site-amazon                        | Val  Loss: 2.8300 | Val  Acc: 0.4615
 Site-amazon                        | Val  Loss: 2.8420 | Val  Acc: 0.4000
 Site-amazon                        | Val  Loss: 2.7949 | Val  Acc: 0.5806
 Site-amazon                        | Val  Loss: 2.7838 | Val  Acc: 0.6739
 Site-amazon                        | Val  Loss: 2.8098 | Val  Acc: 0.6232
 Site-webcam                        | Val  Loss: 2.8015 | Val  Acc: 0.5238
 Site-webcam                        | Val  Loss: 2.8258 | Val  Acc: 0.5135
 Site-webcam                        | Val  Loss: 2.7983 | Val  Acc: 0.5781
 Site-Art                           | Val  Loss: 2.8228 | Val  Acc: 0.3929
 Site-Art                           | Val  Loss: 2.8370 | Val  Acc: 0.4464
 Site-Clipart                       | Val  Loss: 2.8172 | Val  Acc: 0.4737
 Site-dslr                          | Val  Loss: 2.7628 | Val  Acc: 0.6579
Average Valid Accuracy: 0.5513
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.8125
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.3846
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5294
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5455
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.5614
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.4595
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.4896
 Best site-Product                   | Epoch:3 | Val Acc: 0.6364
 Best site-Product                   | Epoch:3 | Val Acc: 0.5625
 Best site-Product                   | Epoch:3 | Val Acc: 0.5909
 Best site-Product                   | Epoch:3 | Val Acc: 0.5484
 Best site-Product                   | Epoch:3 | Val Acc: 0.5581
 Best site-Product                   | Epoch:3 | Val Acc: 0.5763
 Best site-Product                   | Epoch:3 | Val Acc: 0.5732
 Best site-amazon                    | Epoch:3 | Val Acc: 0.4615
 Best site-amazon                    | Epoch:3 | Val Acc: 0.4000
 Best site-amazon                    | Epoch:3 | Val Acc: 0.5806
 Best site-amazon                    | Epoch:3 | Val Acc: 0.6739
 Best site-amazon                    | Epoch:3 | Val Acc: 0.6232
 Best site-webcam                    | Epoch:3 | Val Acc: 0.5238
 Best site-webcam                    | Epoch:3 | Val Acc: 0.5135
 Best site-webcam                    | Epoch:3 | Val Acc: 0.5781
 Best site-Art                       | Epoch:3 | Val Acc: 0.3929
 Best site-Art                       | Epoch:3 | Val Acc: 0.4464
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.4737
 Best site-dslr                      | Epoch:3 | Val Acc: 0.6579
 Saving the local and server checkpoint to ../checkpoint/fed_officecaltechhome_uneven_1.47_1/fedavg...
============ Train epoch 4 ============
 Site-RealWorld                     | Train Loss: 2.7323 | Train Acc: 0.7143
 Site-RealWorld                     | Train Loss: 2.7386 | Train Acc: 0.5556
 Site-RealWorld                     | Train Loss: 2.7749 | Train Acc: 0.5000
 Site-RealWorld                     | Train Loss: 2.7892 | Train Acc: 0.5161
 Site-RealWorld                     | Train Loss: 2.7417 | Train Acc: 0.6250
 Site-RealWorld                     | Train Loss: 2.7533 | Train Acc: 0.5686
 Site-RealWorld                     | Train Loss: 2.7659 | Train Acc: 0.5970
 Site-RealWorld                     | Train Loss: 2.7408 | Train Acc: 0.7093
 Site-RealWorld                     | Train Loss: 2.7421 | Train Acc: 0.7207
 Site-RealWorld                     | Train Loss: 2.7109 | Train Acc: 0.7500
 Site-Product                       | Train Loss: 2.7259 | Train Acc: 0.7647
 Site-Product                       | Train Loss: 2.7583 | Train Acc: 0.5833
 Site-Product                       | Train Loss: 2.7443 | Train Acc: 0.6364
 Site-Product                       | Train Loss: 2.7137 | Train Acc: 0.7174
 Site-Product                       | Train Loss: 2.7367 | Train Acc: 0.7344
 Site-Product                       | Train Loss: 2.7402 | Train Acc: 0.6742
 Site-Product                       | Train Loss: 2.7299 | Train Acc: 0.6855
 Site-amazon                        | Train Loss: 2.7216 | Train Acc: 0.6000
 Site-amazon                        | Train Loss: 2.7065 | Train Acc: 0.7742
 Site-amazon                        | Train Loss: 2.7374 | Train Acc: 0.6739
 Site-amazon                        | Train Loss: 2.7175 | Train Acc: 0.7101
 Site-amazon                        | Train Loss: 2.7555 | Train Acc: 0.6731
 Site-webcam                        | Train Loss: 2.7532 | Train Acc: 0.6875
 Site-webcam                        | Train Loss: 2.7391 | Train Acc: 0.6607
 Site-webcam                        | Train Loss: 2.7565 | Train Acc: 0.5979
