===2023-08-10 21:19:56===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[14,18,24,31,40,52,68,88,113,146,12,22,40,72,128,11,115,58,
client_nums=[10,5,2,1,]
len_dataset=[1000,462,213,98,]
domain number = 4
============ Train epoch 0 ============
 Site-photo                         | Train Loss: 1.8597 | Train Acc: 0.5000
 Site-photo                         | Train Loss: 1.8415 | Train Acc: 0.7222
 Site-photo                         | Train Loss: 1.8440 | Train Acc: 0.5833
 Site-photo                         | Train Loss: 1.7742 | Train Acc: 0.7742
 Site-photo                         | Train Loss: 1.8051 | Train Acc: 0.7500
 Site-photo                         | Train Loss: 1.7960 | Train Acc: 0.6731
 Site-photo                         | Train Loss: 1.8066 | Train Acc: 0.6176
 Site-photo                         | Train Loss: 1.7964 | Train Acc: 0.7386
 Site-photo                         | Train Loss: 1.8167 | Train Acc: 0.6549
 Site-photo                         | Train Loss: 1.8041 | Train Acc: 0.6781
 Site-art_painting                  | Train Loss: 1.8773 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.8782 | Train Acc: 0.3182
 Site-art_painting                  | Train Loss: 1.8751 | Train Acc: 0.4000
 Site-art_painting                  | Train Loss: 1.8390 | Train Acc: 0.4306
 Site-art_painting                  | Train Loss: 1.8559 | Train Acc: 0.3750
 Site-cartoon                       | Train Loss: 1.9306 | Train Acc: 0.1818
 Site-cartoon                       | Train Loss: 1.9001 | Train Acc: 0.2783
 Site-sketch                        | Train Loss: 1.9591 | Train Acc: 0.0690
Average Train Accuracy: 0.5374
 Site-photo                         | Val  Loss: 1.8352 | Val  Acc: 0.4444
 Site-photo                         | Val  Loss: 1.8368 | Val  Acc: 0.5833
 Site-photo                         | Val  Loss: 1.8412 | Val  Acc: 0.5625
 Site-photo                         | Val  Loss: 1.8373 | Val  Acc: 0.7143
 Site-photo                         | Val  Loss: 1.8068 | Val  Acc: 0.7037
 Site-photo                         | Val  Loss: 1.8130 | Val  Acc: 0.6286
 Site-photo                         | Val  Loss: 1.8173 | Val  Acc: 0.6444
 Site-photo                         | Val  Loss: 1.8068 | Val  Acc: 0.6552
 Site-photo                         | Val  Loss: 1.8001 | Val  Acc: 0.7067
 Site-photo                         | Val  Loss: 1.8066 | Val  Acc: 0.7010
 Site-art_painting                  | Val  Loss: 1.8839 | Val  Acc: 0.2500
 Site-art_painting                  | Val  Loss: 1.8559 | Val  Acc: 0.3333
 Site-art_painting                  | Val  Loss: 1.8476 | Val  Acc: 0.4231
 Site-art_painting                  | Val  Loss: 1.8504 | Val  Acc: 0.4255
 Site-art_painting                  | Val  Loss: 1.8519 | Val  Acc: 0.3882
 Site-cartoon                       | Val  Loss: 1.8751 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.8878 | Val  Acc: 0.2987
 Site-sketch                        | Val  Loss: 1.9537 | Val  Acc: 0.0769
Average Valid Accuracy: 0.4903
 Best site-photo                     | Epoch:1 | Val Acc: 0.4444
 Best site-photo                     | Epoch:1 | Val Acc: 0.5833
 Best site-photo                     | Epoch:1 | Val Acc: 0.5625
 Best site-photo                     | Epoch:1 | Val Acc: 0.7143
 Best site-photo                     | Epoch:1 | Val Acc: 0.7037
 Best site-photo                     | Epoch:1 | Val Acc: 0.6286
 Best site-photo                     | Epoch:1 | Val Acc: 0.6444
 Best site-photo                     | Epoch:1 | Val Acc: 0.6552
 Best site-photo                     | Epoch:1 | Val Acc: 0.7067
 Best site-photo                     | Epoch:1 | Val Acc: 0.7010
 Best site-art_painting              | Epoch:1 | Val Acc: 0.2500
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.4231
 Best site-art_painting              | Epoch:1 | Val Acc: 0.4255
 Best site-art_painting              | Epoch:1 | Val Acc: 0.3882
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.2857
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.2987
 Best site-sketch                    | Epoch:1 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedavg...
============ Train epoch 2 ============
 Site-photo                         | Train Loss: 1.6522 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.7722 | Train Acc: 0.7778
 Site-photo                         | Train Loss: 1.7560 | Train Acc: 0.7917
 Site-photo                         | Train Loss: 1.6994 | Train Acc: 0.8710
 Site-photo                         | Train Loss: 1.7313 | Train Acc: 0.8000
 Site-photo                         | Train Loss: 1.7414 | Train Acc: 0.8269
 Site-photo                         | Train Loss: 1.7495 | Train Acc: 0.8382
 Site-photo                         | Train Loss: 1.7287 | Train Acc: 0.8182
 Site-photo                         | Train Loss: 1.7411 | Train Acc: 0.8407
 Site-photo                         | Train Loss: 1.7465 | Train Acc: 0.8219
 Site-art_painting                  | Train Loss: 1.8670 | Train Acc: 0.4167
 Site-art_painting                  | Train Loss: 1.8646 | Train Acc: 0.2727
 Site-art_painting                  | Train Loss: 1.8303 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.8109 | Train Acc: 0.5556
 Site-art_painting                  | Train Loss: 1.8011 | Train Acc: 0.4922
 Site-cartoon                       | Train Loss: 1.8313 | Train Acc: 0.4545
 Site-cartoon                       | Train Loss: 1.8856 | Train Acc: 0.2957
 Site-sketch                        | Train Loss: 1.9587 | Train Acc: 0.1034
Average Train Accuracy: 0.6337
 Site-photo                         | Val  Loss: 1.7713 | Val  Acc: 0.7778
 Site-photo                         | Val  Loss: 1.7795 | Val  Acc: 0.7500
 Site-photo                         | Val  Loss: 1.7804 | Val  Acc: 0.8125
 Site-photo                         | Val  Loss: 1.7952 | Val  Acc: 0.8571
 Site-photo                         | Val  Loss: 1.7385 | Val  Acc: 0.8519
 Site-photo                         | Val  Loss: 1.7388 | Val  Acc: 0.9143
 Site-photo                         | Val  Loss: 1.7420 | Val  Acc: 0.8000
 Site-photo                         | Val  Loss: 1.7308 | Val  Acc: 0.8621
 Site-photo                         | Val  Loss: 1.7240 | Val  Acc: 0.8133
 Site-photo                         | Val  Loss: 1.7417 | Val  Acc: 0.8247
 Site-art_painting                  | Val  Loss: 1.8209 | Val  Acc: 0.3750
 Site-art_painting                  | Val  Loss: 1.8429 | Val  Acc: 0.4000
 Site-art_painting                  | Val  Loss: 1.8160 | Val  Acc: 0.5385
 Site-art_painting                  | Val  Loss: 1.8105 | Val  Acc: 0.4468
 Site-art_painting                  | Val  Loss: 1.8305 | Val  Acc: 0.4235
 Site-cartoon                       | Val  Loss: 1.8682 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.8843 | Val  Acc: 0.2857
 Site-sketch                        | Val  Loss: 1.9315 | Val  Acc: 0.1026
Average Valid Accuracy: 0.6179
 Best site-photo                     | Epoch:2 | Val Acc: 0.7778
 Best site-photo                     | Epoch:2 | Val Acc: 0.7500
 Best site-photo                     | Epoch:2 | Val Acc: 0.8125
 Best site-photo                     | Epoch:2 | Val Acc: 0.8571
 Best site-photo                     | Epoch:2 | Val Acc: 0.8519
 Best site-photo                     | Epoch:2 | Val Acc: 0.9143
 Best site-photo                     | Epoch:2 | Val Acc: 0.8000
 Best site-photo                     | Epoch:2 | Val Acc: 0.8621
 Best site-photo                     | Epoch:2 | Val Acc: 0.8133
 Best site-photo                     | Epoch:2 | Val Acc: 0.8247
 Best site-art_painting              | Epoch:2 | Val Acc: 0.3750
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4000
 Best site-art_painting              | Epoch:2 | Val Acc: 0.5385
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4468
 Best site-art_painting              | Epoch:2 | Val Acc: 0.4235
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.2857
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.2857
 Best site-sketch                    | Epoch:2 | Val Acc: 0.1026
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedavg...
============ Train epoch 3 ============
 Site-photo                         | Train Loss: 1.5890 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.7104 | Train Acc: 0.8333
 Site-photo                         | Train Loss: 1.6892 | Train Acc: 0.8750
 Site-photo                         | Train Loss: 1.6183 | Train Acc: 0.8710
 Site-photo                         | Train Loss: 1.6580 | Train Acc: 0.9500
 Site-photo                         | Train Loss: 1.6707 | Train Acc: 0.9231
 Site-photo                         | Train Loss: 1.6627 | Train Acc: 0.8971
 Site-photo                         | Train Loss: 1.6496 | Train Acc: 0.8977
 Site-photo                         | Train Loss: 1.6753 | Train Acc: 0.9292
 Site-photo                         | Train Loss: 1.6736 | Train Acc: 0.8904
 Site-art_painting                  | Train Loss: 1.7947 | Train Acc: 0.4167
 Site-art_painting                  | Train Loss: 1.8142 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.7833 | Train Acc: 0.5750
 Site-art_painting                  | Train Loss: 1.8111 | Train Acc: 0.5556
 Site-art_painting                  | Train Loss: 1.7788 | Train Acc: 0.5469
 Site-cartoon                       | Train Loss: 1.8935 | Train Acc: 0.2727
 Site-cartoon                       | Train Loss: 1.8586 | Train Acc: 0.3739
 Site-sketch                        | Train Loss: 1.9495 | Train Acc: 0.0690
Average Train Accuracy: 0.6836
 Site-photo                         | Val  Loss: 1.6753 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.6984 | Val  Acc: 0.8333
 Site-photo                         | Val  Loss: 1.7236 | Val  Acc: 0.8125
 Site-photo                         | Val  Loss: 1.7070 | Val  Acc: 0.9048
 Site-photo                         | Val  Loss: 1.6682 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 1.6578 | Val  Acc: 0.9429
 Site-photo                         | Val  Loss: 1.6776 | Val  Acc: 0.8222
 Site-photo                         | Val  Loss: 1.6704 | Val  Acc: 0.9138
 Site-photo                         | Val  Loss: 1.6521 | Val  Acc: 0.8933
 Site-photo                         | Val  Loss: 1.6749 | Val  Acc: 0.8969
 Site-art_painting                  | Val  Loss: 1.7488 | Val  Acc: 0.7500
 Site-art_painting                  | Val  Loss: 1.8271 | Val  Acc: 0.6000
 Site-art_painting                  | Val  Loss: 1.7665 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.7656 | Val  Acc: 0.5319
 Site-art_painting                  | Val  Loss: 1.7899 | Val  Acc: 0.5176
 Site-cartoon                       | Val  Loss: 1.8623 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.8410 | Val  Acc: 0.4156
 Site-sketch                        | Val  Loss: 1.9363 | Val  Acc: 0.1026
Average Valid Accuracy: 0.6986
 Best site-photo                     | Epoch:3 | Val Acc: 0.8889
 Best site-photo                     | Epoch:3 | Val Acc: 0.8333
 Best site-photo                     | Epoch:3 | Val Acc: 0.8125
 Best site-photo                     | Epoch:3 | Val Acc: 0.9048
 Best site-photo                     | Epoch:3 | Val Acc: 0.9630
 Best site-photo                     | Epoch:3 | Val Acc: 0.9429
 Best site-photo                     | Epoch:3 | Val Acc: 0.8222
 Best site-photo                     | Epoch:3 | Val Acc: 0.9138
 Best site-photo                     | Epoch:3 | Val Acc: 0.8933
 Best site-photo                     | Epoch:3 | Val Acc: 0.8969
 Best site-art_painting              | Epoch:3 | Val Acc: 0.7500
 Best site-art_painting              | Epoch:3 | Val Acc: 0.6000
 Best site-art_painting              | Epoch:3 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:3 | Val Acc: 0.5319
 Best site-art_painting              | Epoch:3 | Val Acc: 0.5176
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.2857
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.4156
 Best site-sketch                    | Epoch:3 | Val Acc: 0.1026
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedavg...
============ Train epoch 4 ============
 Site-photo                         | Train Loss: 1.5055 | Train Acc: 0.9286
 Site-photo                         | Train Loss: 1.6453 | Train Acc: 0.9444
 Site-photo                         | Train Loss: 1.5997 | Train Acc: 0.9583
 Site-photo                         | Train Loss: 1.5433 | Train Acc: 0.9355
 Site-photo                         | Train Loss: 1.5895 | Train Acc: 0.9750
 Site-photo                         | Train Loss: 1.6241 | Train Acc: 0.9423
 Site-photo                         | Train Loss: 1.5728 | Train Acc: 0.9412
 Site-photo                         | Train Loss: 1.5886 | Train Acc: 0.9432
 Site-photo                         | Train Loss: 1.6137 | Train Acc: 0.9292
 Site-photo                         | Train Loss: 1.5865 | Train Acc: 0.9589
 Site-art_painting                  | Train Loss: 1.7683 | Train Acc: 0.5833
 Site-art_painting                  | Train Loss: 1.8043 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.7506 | Train Acc: 0.5750
 Site-art_painting                  | Train Loss: 1.7310 | Train Acc: 0.6111
 Site-art_painting                  | Train Loss: 1.7367 | Train Acc: 0.5781
 Site-cartoon                       | Train Loss: 1.8347 | Train Acc: 0.3636
 Site-cartoon                       | Train Loss: 1.8215 | Train Acc: 0.4522
 Site-sketch                        | Train Loss: 1.9458 | Train Acc: 0.1379
Average Train Accuracy: 0.7366
 Site-photo                         | Val  Loss: 1.6344 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.6434 | Val  Acc: 0.9167
 Site-photo                         | Val  Loss: 1.6947 | Val  Acc: 0.8750
 Site-photo                         | Val  Loss: 1.6423 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.6054 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 1.5849 | Val  Acc: 0.9714
 Site-photo                         | Val  Loss: 1.5920 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.5988 | Val  Acc: 0.9138
 Site-photo                         | Val  Loss: 1.5915 | Val  Acc: 0.9600
 Site-photo                         | Val  Loss: 1.6052 | Val  Acc: 0.9588
 Site-art_painting                  | Val  Loss: 1.7851 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.8008 | Val  Acc: 0.4667
 Site-art_painting                  | Val  Loss: 1.7627 | Val  Acc: 0.5385
 Site-art_painting                  | Val  Loss: 1.7414 | Val  Acc: 0.5106
 Site-art_painting                  | Val  Loss: 1.7657 | Val  Acc: 0.4824
 Site-cartoon                       | Val  Loss: 1.8526 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.8376 | Val  Acc: 0.4286
 Site-sketch                        | Val  Loss: 1.9377 | Val  Acc: 0.0769
Average Valid Accuracy: 0.7067
 Best site-photo                     | Epoch:4 | Val Acc: 0.8889
 Best site-photo                     | Epoch:4 | Val Acc: 0.9167
 Best site-photo                     | Epoch:4 | Val Acc: 0.8750
 Best site-photo                     | Epoch:4 | Val Acc: 0.9524
 Best site-photo                     | Epoch:4 | Val Acc: 0.9630
 Best site-photo                     | Epoch:4 | Val Acc: 0.9714
 Best site-photo                     | Epoch:4 | Val Acc: 0.8889
 Best site-photo                     | Epoch:4 | Val Acc: 0.9138
 Best site-photo                     | Epoch:4 | Val Acc: 0.9600
 Best site-photo                     | Epoch:4 | Val Acc: 0.9588
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:4 | Val Acc: 0.4667
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5385
 Best site-art_painting              | Epoch:4 | Val Acc: 0.5106
 Best site-art_painting              | Epoch:4 | Val Acc: 0.4824
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:4 | Val Acc: 0.4286
 Best site-sketch                    | Epoch:4 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedavg...
============ Train epoch 5 ============
 Site-photo                         | Train Loss: 1.4728 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.5818 | Train Acc: 0.8889
 Site-photo                         | Train Loss: 1.5623 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.4730 | Train Acc: 0.9677
 Site-photo                         | Train Loss: 1.5228 | Train Acc: 0.9750
 Site-photo                         | Train Loss: 1.5445 | Train Acc: 0.9423
 Site-photo                         | Train Loss: 1.5498 | Train Acc: 0.9706
 Site-photo                         | Train Loss: 1.5224 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 1.5421 | Train Acc: 0.9469
 Site-photo                         | Train Loss: 1.5385 | Train Acc: 0.9726
 Site-art_painting                  | Train Loss: 1.7456 | Train Acc: 0.5000
 Site-art_painting                  | Train Loss: 1.7360 | Train Acc: 0.6364
 Site-art_painting                  | Train Loss: 1.7257 | Train Acc: 0.5750
 Site-art_painting                  | Train Loss: 1.7046 | Train Acc: 0.6528
 Site-art_painting                  | Train Loss: 1.7164 | Train Acc: 0.6328
 Site-cartoon                       | Train Loss: 1.8424 | Train Acc: 0.3636
 Site-cartoon                       | Train Loss: 1.7856 | Train Acc: 0.5391
 Site-sketch                        | Train Loss: 1.9452 | Train Acc: 0.1034
Average Train Accuracy: 0.7528
 Site-photo                         | Val  Loss: 1.5406 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.5685 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.6071 | Val  Acc: 0.9375
 Site-photo                         | Val  Loss: 1.5654 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.5207 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 1.5165 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.5375 | Val  Acc: 0.9556
 Site-photo                         | Val  Loss: 1.5272 | Val  Acc: 0.9655
 Site-photo                         | Val  Loss: 1.5184 | Val  Acc: 0.9333
 Site-photo                         | Val  Loss: 1.5303 | Val  Acc: 0.9897
 Site-art_painting                  | Val  Loss: 1.6878 | Val  Acc: 0.6250
 Site-art_painting                  | Val  Loss: 1.7165 | Val  Acc: 0.6667
 Site-art_painting                  | Val  Loss: 1.6761 | Val  Acc: 0.6923
 Site-art_painting                  | Val  Loss: 1.7476 | Val  Acc: 0.5745
 Site-art_painting                  | Val  Loss: 1.7258 | Val  Acc: 0.6706
 Site-cartoon                       | Val  Loss: 1.8166 | Val  Acc: 0.2857
 Site-cartoon                       | Val  Loss: 1.8079 | Val  Acc: 0.4675
 Site-sketch                        | Val  Loss: 1.9140 | Val  Acc: 0.1282
Average Valid Accuracy: 0.7609
 Best site-photo                     | Epoch:5 | Val Acc: 0.8889
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.9375
 Best site-photo                     | Epoch:5 | Val Acc: 0.9524
 Best site-photo                     | Epoch:5 | Val Acc: 0.9630
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.9556
 Best site-photo                     | Epoch:5 | Val Acc: 0.9655
 Best site-photo                     | Epoch:5 | Val Acc: 0.9333
 Best site-photo                     | Epoch:5 | Val Acc: 0.9897
 Best site-art_painting              | Epoch:5 | Val Acc: 0.6250
 Best site-art_painting              | Epoch:5 | Val Acc: 0.6667
 Best site-art_painting              | Epoch:5 | Val Acc: 0.6923
 Best site-art_painting              | Epoch:5 | Val Acc: 0.5745
 Best site-art_painting              | Epoch:5 | Val Acc: 0.6706
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.2857
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.4675
 Best site-sketch                    | Epoch:5 | Val Acc: 0.1282
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_2/fedavg...
============ Train epoch 6 ============
 Site-photo                         | Train Loss: 1.3695 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.5328 | Train Acc: 0.8889
 Site-photo                         | Train Loss: 1.4814 | Train Acc: 0.9167
 Site-photo                         | Train Loss: 1.4252 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.4485 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 1.4982 | Train Acc: 0.9231
 Site-photo                         | Train Loss: 1.4883 | Train Acc: 0.9706
 Site-photo                         | Train Loss: 1.4603 | Train Acc: 0.9773
 Site-photo                         | Train Loss: 1.4692 | Train Acc: 0.9823
 Site-photo                         | Train Loss: 1.4766 | Train Acc: 0.9726
 Site-art_painting                  | Train Loss: 1.6918 | Train Acc: 0.5833
 Site-art_painting                  | Train Loss: 1.7242 | Train Acc: 0.5455
 Site-art_painting                  | Train Loss: 1.7231 | Train Acc: 0.6250
 Site-art_painting                  | Train Loss: 1.6751 | Train Acc: 0.6528
 Site-art_painting                  | Train Loss: 1.6747 | Train Acc: 0.6484
 Site-cartoon                       | Train Loss: 1.8052 | Train Acc: 0.4545
 Site-cartoon                       | Train Loss: 1.7768 | Train Acc: 0.5130
 Site-sketch                        | Train Loss: 1.9489 | Train Acc: 0.1207
Average Train Accuracy: 0.7653
 Site-photo                         | Val  Loss: 1.4938 | Val  Acc: 0.8889
 Site-photo                         | Val  Loss: 1.5297 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.5400 | Val  Acc: 0.9375
 Site-photo                         | Val  Loss: 1.5159 | Val  Acc: 0.9524
 Site-photo                         | Val  Loss: 1.4693 | Val  Acc: 0.9630
 Site-photo                         | Val  Loss: 1.4417 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.4734 | Val  Acc: 0.9778
 Site-photo                         | Val  Loss: 1.4720 | Val  Acc: 0.9655
 Site-photo                         | Val  Loss: 1.4486 | Val  Acc: 1.0000
 Site-photo                         | Val  Loss: 1.4743 | Val  Acc: 0.9794
 Site-art_painting                  | Val  Loss: 1.6786 | Val  Acc: 0.5000
 Site-art_painting                  | Val  Loss: 1.6745 | Val  Acc: 0.7333
 Site-art_painting                  | Val  Loss: 1.6440 | Val  Acc: 0.7308
 Site-art_painting                  | Val  Loss: 1.6588 | Val  Acc: 0.6809
 Site-art_painting                  | Val  Loss: 1.6953 | Val  Acc: 0.6000
 Site-cartoon                       | Val  Loss: 1.8239 | Val  Acc: 0.4286
 Site-cartoon                       | Val  Loss: 1.7904 | Val  Acc: 0.5455
 Site-sketch                        | Val  Loss: 1.9274 | Val  Acc: 0.1026
Average Valid Accuracy: 0.7770
 Best site-photo                     | Epoch:6 | Val Acc: 0.8889
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9375
 Best site-photo                     | Epoch:6 | Val Acc: 0.9524
 Best site-photo                     | Epoch:6 | Val Acc: 0.9630
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9778
 Best site-photo                     | Epoch:6 | Val Acc: 0.9655
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9794
 Best site-art_painting              | Epoch:6 | Val Acc: 0.5000
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7333
 Best site-art_painting              | Epoch:6 | Val Acc: 0.7308
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6809
 Best site-art_painting              | Epoch:6 | Val Acc: 0.6000
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.4286
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.5455
 Best site-sketch                    | Epoch:6 | Val Acc: 0.1026
