===2023-06-02 00:39:46===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: True
    binary_race: True
    save_iter: -1
data_number=[39,52,68,89,117,154,201,264,346,453,154,202,]
client_nums=[10,2,]
len_dataset=[2980,596,]
label set of clients: [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, ]
domain number = -1
============ Train epoch 0 ============
 Site-White_0                  | Train Loss: 0.6674 | Train Acc: 0.7179
 Best site-White_8                   | Epoch:1 | Val Acc: 0.7174
 Best site-White_9                   | Epoch:1 | Val Acc: 0.7616
 Best site-Black_0                   | Epoch:1 | Val Acc: 0.5825
 Best site-Black_1                   | Epoch:1 | Val Acc: 0.6343
 Saving the gmap checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_gender_label_binary_race/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_gender_label_binary_race/fedavg...
============ Train epoch 2 ============
 Site-White_0                  | Train Loss: 0.6394 | Train Acc: 0.7949
 Site-White_1                  | Train Loss: 0.6235 | Train Acc: 0.7885
 Site-White_2                  | Train Loss: 0.6382 | Train Acc: 0.7794
 Site-White_3                  | Train Loss: 0.6264 | Train Acc: 0.8539
 Site-White_4                  | Train Loss: 0.6307 | Train Acc: 0.7863
 Site-White_5                  | Train Loss: 0.6340 | Train Acc: 0.7792
 Site-White_6                  | Train Loss: 0.6329 | Train Acc: 0.7861
 Site-White_7                  | Train Loss: 0.6320 | Train Acc: 0.8068
 Site-White_8                  | Train Loss: 0.6365 | Train Acc: 0.7832
 Site-White_9                  | Train Loss: 0.6412 | Train Acc: 0.7748
 Site-Black_0                  | Train Loss: 0.6547 | Train Acc: 0.7078
 Site-Black_1                  | Train Loss: 0.6553 | Train Acc: 0.6782
 Site-White_0                       | Val  Loss: 0.6389 | Val  Acc: 0.7308
 Site-White_1                       | Val  Loss: 0.6103 | Val  Acc: 0.7941
 Site-White_2                       | Val  Loss: 0.6300 | Val  Acc: 0.8222
 Site-White_3                       | Val  Loss: 0.6326 | Val  Acc: 0.7627
 Site-White_4                       | Val  Loss: 0.6488 | Val  Acc: 0.7564
 Site-White_5                       | Val  Loss: 0.6261 | Val  Acc: 0.8039
 Site-White_6                       | Val  Loss: 0.6340 | Val  Acc: 0.7537
 Site-White_7                       | Val  Loss: 0.6385 | Val  Acc: 0.7898
 Site-White_8                       | Val  Loss: 0.6380 | Val  Acc: 0.7478
 Site-White_9                       | Val  Loss: 0.6302 | Val  Acc: 0.8212
 Site-Black_0                       | Val  Loss: 0.6547 | Val  Acc: 0.6117
 Site-Black_1                       | Val  Loss: 0.6522 | Val  Acc: 0.6716
Average Valid Accuracy: 0.7555
 Best site-White_0                   | Epoch:2 | Val Acc: 0.7308
 Best site-White_1                   | Epoch:2 | Val Acc: 0.7941
 Best site-White_2                   | Epoch:2 | Val Acc: 0.8222
 Best site-White_3                   | Epoch:2 | Val Acc: 0.7627
 Best site-White_4                   | Epoch:2 | Val Acc: 0.7564
 Best site-White_5                   | Epoch:2 | Val Acc: 0.8039
 Best site-White_6                   | Epoch:2 | Val Acc: 0.7537
 Best site-White_7                   | Epoch:2 | Val Acc: 0.7898
 Best site-White_8                   | Epoch:2 | Val Acc: 0.7478
 Best site-White_9                   | Epoch:2 | Val Acc: 0.8212
 Best site-Black_0                   | Epoch:2 | Val Acc: 0.6117
 Best site-Black_1                   | Epoch:2 | Val Acc: 0.6716
 Saving the gmap checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_gender_label_binary_race/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven_1.31_1_random_dis_cluster_-1_gender_label_binary_race/fedavg...
============ Train epoch 3 ============
 Site-White_0                  | Train Loss: 0.6204 | Train Acc: 0.7949
 Site-White_1                  | Train Loss: 0.6147 | Train Acc: 0.8462
 Site-White_2                  | Train Loss: 0.6040 | Train Acc: 0.8382
 Site-White_3                  | Train Loss: 0.6099 | Train Acc: 0.8764
 Site-White_4                  | Train Loss: 0.6246 | Train Acc: 0.7692
 Site-White_5                  | Train Loss: 0.6257 | Train Acc: 0.8182
 Site-White_6                  | Train Loss: 0.6256 | Train Acc: 0.8159
 Site-White_7                  | Train Loss: 0.6170 | Train Acc: 0.8068
 Site-White_8                  | Train Loss: 0.6229 | Train Acc: 0.7832
 Site-White_9                  | Train Loss: 0.6236 | Train Acc: 0.7881
 Site-Black_0                  | Train Loss: 0.6502 | Train Acc: 0.6818
 Site-Black_1                  | Train Loss: 0.6459 | Train Acc: 0.7277
 Site-White_0                       | Val  Loss: 0.6327 | Val  Acc: 0.8077
 Site-White_1                       | Val  Loss: 0.5633 | Val  Acc: 0.9412
 Site-White_2                       | Val  Loss: 0.6236 | Val  Acc: 0.8222
 Site-White_3                       | Val  Loss: 0.6295 | Val  Acc: 0.7966
