===2023-08-05 09:38:02===
===Setting===
    dataset: officehome
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 4
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[21,27,35,45,58,75,97,126,163,210,30,45,68,101,152,61,122,85,
client_nums=[10,5,2,1,]
len_dataset=[1435,664,307,142,]
domain number = 4
============ Train epoch 0 ============
 Site-Art                           | Train Loss: 3.6917 | Train Acc: 0.6190
 Site-RealWorld                     | Val  Loss: 3.7314 | Val  Acc: 0.6000
 Site-RealWorld                     | Val  Loss: 3.6395 | Val  Acc: 0.5224
 Site-RealWorld                     | Val  Loss: 3.7249 | Val  Acc: 0.5842
 Site-Clipart                       | Val  Loss: 3.9057 | Val  Acc: 0.3000
 Site-Clipart                       | Val  Loss: 3.8740 | Val  Acc: 0.3210
 Site-Product                       | Val  Loss: 3.7806 | Val  Acc: 0.5000
Average Valid Accuracy: 0.5023
 Best site-Art                       | Epoch:0 | Val Acc: 0.3571
 Best site-Art                       | Epoch:0 | Val Acc: 0.3333
 Best site-Art                       | Epoch:0 | Val Acc: 0.5652
 Best site-Art                       | Epoch:0 | Val Acc: 0.5333
 Best site-Art                       | Epoch:0 | Val Acc: 0.2051
 Best site-Art                       | Epoch:0 | Val Acc: 0.5400
 Best site-Art                       | Epoch:0 | Val Acc: 0.6154
 Best site-Art                       | Epoch:0 | Val Acc: 0.5595
 Best site-Art                       | Epoch:0 | Val Acc: 0.6111
 Best site-Art                       | Epoch:0 | Val Acc: 0.5429
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.7500
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.6000
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.6000
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.5224
 Best site-RealWorld                 | Epoch:0 | Val Acc: 0.5842
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3000
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3210
 Best site-Product                   | Epoch:0 | Val Acc: 0.5000
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 1 ============
 Site-Art                           | Train Loss: 3.2589 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 3.3671 | Train Acc: 0.7037
 Site-Art                           | Train Loss: 3.3335 | Train Acc: 0.6286
 Site-Art                           | Train Loss: 3.3890 | Train Acc: 0.6667
 Site-Art                           | Train Loss: 3.3270 | Train Acc: 0.6207
 Site-Art                           | Train Loss: 3.3109 | Train Acc: 0.6133
 Site-Art                           | Train Loss: 3.2037 | Train Acc: 0.6804
 Site-Art                           | Train Loss: 3.2774 | Train Acc: 0.6905
 Site-Art                           | Train Loss: 3.3552 | Train Acc: 0.6074
 Site-Art                           | Train Loss: 3.1563 | Train Acc: 0.7095
 Site-RealWorld                     | Train Loss: 3.3810 | Train Acc: 0.6667
 Site-RealWorld                     | Train Loss: 3.2569 | Train Acc: 0.6889
 Site-RealWorld                     | Train Loss: 3.1088 | Train Acc: 0.6618
 Site-RealWorld                     | Train Loss: 3.3435 | Train Acc: 0.7030
 Site-RealWorld                     | Train Loss: 3.2559 | Train Acc: 0.6974
 Site-Clipart                       | Train Loss: 3.4532 | Train Acc: 0.5082
 Site-Clipart                       | Train Loss: 3.5948 | Train Acc: 0.4344
 Site-Product                       | Train Loss: 3.4569 | Train Acc: 0.6118
Average Train Accuracy: 0.6448
 Site-Art                           | Val  Loss: 3.5463 | Val  Acc: 0.5000
 Site-Art                           | Val  Loss: 3.5203 | Val  Acc: 0.4444
 Site-Art                           | Val  Loss: 3.3727 | Val  Acc: 0.5652
 Site-Art                           | Val  Loss: 3.2999 | Val  Acc: 0.6333
 Site-Art                           | Val  Loss: 3.5104 | Val  Acc: 0.4359
 Site-Art                           | Val  Loss: 3.2981 | Val  Acc: 0.6400
 Site-Art                           | Val  Loss: 3.5627 | Val  Acc: 0.6462
 Site-Art                           | Val  Loss: 3.2812 | Val  Acc: 0.6905
 Site-Art                           | Val  Loss: 3.2272 | Val  Acc: 0.6852
 Site-Art                           | Val  Loss: 3.3144 | Val  Acc: 0.6214
 Site-RealWorld                     | Val  Loss: 3.1186 | Val  Acc: 0.8500
 Site-RealWorld                     | Val  Loss: 3.2961 | Val  Acc: 0.8333
 Site-RealWorld                     | Val  Loss: 3.2984 | Val  Acc: 0.6667
 Site-RealWorld                     | Val  Loss: 3.0916 | Val  Acc: 0.6567
 Site-RealWorld                     | Val  Loss: 3.3025 | Val  Acc: 0.6832
 Site-Clipart                       | Val  Loss: 3.6294 | Val  Acc: 0.3500
 Site-Clipart                       | Val  Loss: 3.5808 | Val  Acc: 0.4321
 Site-Product                       | Val  Loss: 3.3964 | Val  Acc: 0.6429
Average Valid Accuracy: 0.6098
 Best site-Art                       | Epoch:1 | Val Acc: 0.5000
 Best site-Art                       | Epoch:1 | Val Acc: 0.4444
 Best site-Art                       | Epoch:1 | Val Acc: 0.5652
 Best site-Art                       | Epoch:1 | Val Acc: 0.6333
 Best site-Art                       | Epoch:1 | Val Acc: 0.4359
 Best site-Art                       | Epoch:1 | Val Acc: 0.6400
 Best site-Art                       | Epoch:1 | Val Acc: 0.6462
 Best site-Art                       | Epoch:1 | Val Acc: 0.6905
 Best site-Art                       | Epoch:1 | Val Acc: 0.6852
 Best site-Art                       | Epoch:1 | Val Acc: 0.6214
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.8500
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.8333
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.6667
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.6567
 Best site-RealWorld                 | Epoch:1 | Val Acc: 0.6832
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.3500
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.4321
 Best site-Product                   | Epoch:1 | Val Acc: 0.6429
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 2 ============
 Site-Art                           | Train Loss: 2.9665 | Train Acc: 0.6667
 Site-Art                           | Train Loss: 2.9452 | Train Acc: 0.8148
 Site-Art                           | Train Loss: 3.0236 | Train Acc: 0.6286
 Site-Art                           | Train Loss: 3.0495 | Train Acc: 0.6889
 Site-Art                           | Train Loss: 2.9180 | Train Acc: 0.6379
 Site-Art                           | Train Loss: 2.9537 | Train Acc: 0.6400
 Site-Art                           | Train Loss: 2.7474 | Train Acc: 0.7423
 Site-Art                           | Train Loss: 2.9272 | Train Acc: 0.6984
 Site-Art                           | Train Loss: 3.0047 | Train Acc: 0.6135
 Site-Art                           | Train Loss: 2.7222 | Train Acc: 0.7667
 Site-RealWorld                     | Train Loss: 2.9371 | Train Acc: 0.8000
 Site-RealWorld                     | Train Loss: 2.8194 | Train Acc: 0.8000
 Site-RealWorld                     | Train Loss: 2.5815 | Train Acc: 0.7059
 Site-RealWorld                     | Train Loss: 2.9207 | Train Acc: 0.7426
 Site-RealWorld                     | Train Loss: 2.8973 | Train Acc: 0.7368
 Site-Clipart                       | Train Loss: 3.1842 | Train Acc: 0.5410
 Site-Clipart                       | Train Loss: 3.3383 | Train Acc: 0.4672
 Site-Product                       | Train Loss: 3.0842 | Train Acc: 0.6353
Average Train Accuracy: 0.6848
 Site-Art                           | Val  Loss: 3.1889 | Val  Acc: 0.5714
 Site-Art                           | Val  Loss: 3.2901 | Val  Acc: 0.4444
 Site-Art                           | Val  Loss: 3.0088 | Val  Acc: 0.5217
 Site-Art                           | Val  Loss: 2.8619 | Val  Acc: 0.6667
 Site-Art                           | Val  Loss: 3.2023 | Val  Acc: 0.4615
 Site-Art                           | Val  Loss: 2.9222 | Val  Acc: 0.6400
 Site-Art                           | Val  Loss: 3.0048 | Val  Acc: 0.7231
 Site-Art                           | Val  Loss: 2.8890 | Val  Acc: 0.7024
 Site-Art                           | Val  Loss: 2.8384 | Val  Acc: 0.6944
 Site-Art                           | Val  Loss: 2.9571 | Val  Acc: 0.6286
 Site-RealWorld                     | Val  Loss: 2.6316 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 2.8004 | Val  Acc: 0.8667
 Site-RealWorld                     | Val  Loss: 2.9373 | Val  Acc: 0.6889
 Site-RealWorld                     | Val  Loss: 2.6784 | Val  Acc: 0.7164
 Site-RealWorld                     | Val  Loss: 2.8929 | Val  Acc: 0.7525
 Site-Clipart                       | Val  Loss: 3.3742 | Val  Acc: 0.3750
 Site-Clipart                       | Val  Loss: 3.3243 | Val  Acc: 0.4198
 Site-Product                       | Val  Loss: 3.0107 | Val  Acc: 0.6429
Average Valid Accuracy: 0.6342
 Best site-Art                       | Epoch:2 | Val Acc: 0.5714
 Best site-Art                       | Epoch:2 | Val Acc: 0.4444
 Best site-Art                       | Epoch:2 | Val Acc: 0.5217
 Best site-Art                       | Epoch:2 | Val Acc: 0.6667
 Best site-Art                       | Epoch:2 | Val Acc: 0.4615
 Best site-Art                       | Epoch:2 | Val Acc: 0.6400
 Best site-Art                       | Epoch:2 | Val Acc: 0.7231
 Best site-Art                       | Epoch:2 | Val Acc: 0.7024
 Best site-Art                       | Epoch:2 | Val Acc: 0.6944
 Best site-Art                       | Epoch:2 | Val Acc: 0.6286
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.8667
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.6889
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.7164
 Best site-RealWorld                 | Epoch:2 | Val Acc: 0.7525
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.3750
 Best site-Clipart                   | Epoch:2 | Val Acc: 0.4198
 Best site-Product                   | Epoch:2 | Val Acc: 0.6429
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 3 ============
 Site-Art                           | Train Loss: 2.6583 | Train Acc: 0.6190
 Site-Art                           | Train Loss: 2.6663 | Train Acc: 0.7778
 Site-Art                           | Train Loss: 2.6747 | Train Acc: 0.6571
 Site-Art                           | Train Loss: 2.7323 | Train Acc: 0.7111
 Site-Art                           | Train Loss: 2.6220 | Train Acc: 0.6207
 Site-Art                           | Train Loss: 2.7202 | Train Acc: 0.6933
 Site-Art                           | Train Loss: 2.4495 | Train Acc: 0.7216
 Site-Art                           | Train Loss: 2.5256 | Train Acc: 0.7460
 Site-Art                           | Train Loss: 2.6902 | Train Acc: 0.6319
 Site-Art                           | Train Loss: 2.3208 | Train Acc: 0.7762
 Site-RealWorld                     | Train Loss: 2.6211 | Train Acc: 0.7667
 Site-RealWorld                     | Train Loss: 2.4322 | Train Acc: 0.8222
 Site-RealWorld                     | Train Loss: 2.5161 | Train Acc: 0.6765
 Site-RealWorld                     | Train Loss: 2.6354 | Train Acc: 0.7327
 Site-RealWorld                     | Train Loss: 2.5298 | Train Acc: 0.7697
 Site-Clipart                       | Train Loss: 2.8635 | Train Acc: 0.5738
 Site-Clipart                       | Train Loss: 3.1045 | Train Acc: 0.5082
 Site-Product                       | Train Loss: 2.7600 | Train Acc: 0.6235
Average Train Accuracy: 0.6905
 Site-Art                           | Val  Loss: 2.9105 | Val  Acc: 0.5714
 Site-Art                           | Val  Loss: 2.9917 | Val  Acc: 0.5000
 Site-Art                           | Val  Loss: 2.7289 | Val  Acc: 0.6087
 Site-Art                           | Val  Loss: 2.5600 | Val  Acc: 0.6000
 Site-Art                           | Val  Loss: 2.9267 | Val  Acc: 0.5385
 Site-Art                           | Val  Loss: 2.5213 | Val  Acc: 0.7400
 Site-Art                           | Val  Loss: 3.0623 | Val  Acc: 0.7231
 Site-Art                           | Val  Loss: 2.5645 | Val  Acc: 0.7024
 Site-Art                           | Val  Loss: 2.4621 | Val  Acc: 0.7407
 Site-Art                           | Val  Loss: 2.6085 | Val  Acc: 0.6214
 Site-RealWorld                     | Val  Loss: 2.2298 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 2.4432 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 2.6006 | Val  Acc: 0.6889
 Site-RealWorld                     | Val  Loss: 2.1955 | Val  Acc: 0.7015
 Site-RealWorld                     | Val  Loss: 2.4906 | Val  Acc: 0.8020
 Site-Clipart                       | Val  Loss: 3.1130 | Val  Acc: 0.4000
 Site-Clipart                       | Val  Loss: 3.1058 | Val  Acc: 0.4074
 Site-Product                       | Val  Loss: 2.7192 | Val  Acc: 0.6607
Average Valid Accuracy: 0.6559
 Best site-Art                       | Epoch:3 | Val Acc: 0.5714
 Best site-Art                       | Epoch:3 | Val Acc: 0.5000
 Best site-Art                       | Epoch:3 | Val Acc: 0.6087
 Best site-Art                       | Epoch:3 | Val Acc: 0.6000
 Best site-Art                       | Epoch:3 | Val Acc: 0.5385
 Best site-Art                       | Epoch:3 | Val Acc: 0.7400
 Best site-Art                       | Epoch:3 | Val Acc: 0.7231
 Best site-Art                       | Epoch:3 | Val Acc: 0.7024
 Best site-Art                       | Epoch:3 | Val Acc: 0.7407
 Best site-Art                       | Epoch:3 | Val Acc: 0.6214
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.6889
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.7015
 Best site-RealWorld                 | Epoch:3 | Val Acc: 0.8020
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.4000
 Best site-Clipart                   | Epoch:3 | Val Acc: 0.4074
 Best site-Product                   | Epoch:3 | Val Acc: 0.6607
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 4 ============
 Site-Art                           | Train Loss: 2.3378 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 2.3503 | Train Acc: 0.7407
 Site-Art                           | Train Loss: 2.3847 | Train Acc: 0.6857
 Site-Art                           | Train Loss: 2.4831 | Train Acc: 0.7333
 Site-Art                           | Train Loss: 2.2538 | Train Acc: 0.6897
 Site-Art                           | Train Loss: 2.1078 | Train Acc: 0.7333
 Site-Art                           | Train Loss: 2.1556 | Train Acc: 0.7526
 Site-Art                           | Train Loss: 2.2726 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 2.3932 | Train Acc: 0.6933
 Site-Art                           | Train Loss: 2.0890 | Train Acc: 0.8143
 Site-RealWorld                     | Train Loss: 2.3182 | Train Acc: 0.7667
 Site-RealWorld                     | Train Loss: 2.1002 | Train Acc: 0.8889
 Site-RealWorld                     | Train Loss: 2.1535 | Train Acc: 0.7353
 Site-RealWorld                     | Train Loss: 2.3310 | Train Acc: 0.7624
 Site-RealWorld                     | Train Loss: 2.2459 | Train Acc: 0.7895
 Site-Clipart                       | Train Loss: 2.5899 | Train Acc: 0.5410
 Site-Clipart                       | Train Loss: 2.8146 | Train Acc: 0.5246
 Site-Product                       | Train Loss: 2.3942 | Train Acc: 0.7176
Average Train Accuracy: 0.7221
 Site-Art                           | Val  Loss: 2.7010 | Val  Acc: 0.6429
 Site-Art                           | Val  Loss: 2.6706 | Val  Acc: 0.5000
 Site-Art                           | Val  Loss: 2.3978 | Val  Acc: 0.6522
 Site-Art                           | Val  Loss: 2.2526 | Val  Acc: 0.6333
 Site-Art                           | Val  Loss: 2.6635 | Val  Acc: 0.5385
 Site-Art                           | Val  Loss: 2.3017 | Val  Acc: 0.7400
 Site-Art                           | Val  Loss: 2.3388 | Val  Acc: 0.7538
 Site-Art                           | Val  Loss: 2.2724 | Val  Acc: 0.7262
 Site-Art                           | Val  Loss: 2.1860 | Val  Acc: 0.7222
 Site-Art                           | Val  Loss: 2.3204 | Val  Acc: 0.7071
 Site-RealWorld                     | Val  Loss: 1.8543 | Val  Acc: 0.9500
 Site-RealWorld                     | Val  Loss: 2.1143 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 2.4404 | Val  Acc: 0.6444
 Site-RealWorld                     | Val  Loss: 1.9811 | Val  Acc: 0.7463
 Site-RealWorld                     | Val  Loss: 2.1922 | Val  Acc: 0.7921
 Site-Clipart                       | Val  Loss: 2.8372 | Val  Acc: 0.4750
 Site-Clipart                       | Val  Loss: 2.8999 | Val  Acc: 0.4815
 Site-Product                       | Val  Loss: 2.4093 | Val  Acc: 0.6964
Average Valid Accuracy: 0.6834
 Best site-Art                       | Epoch:4 | Val Acc: 0.6429
 Best site-Art                       | Epoch:4 | Val Acc: 0.5000
 Best site-Art                       | Epoch:4 | Val Acc: 0.6522
 Best site-Art                       | Epoch:4 | Val Acc: 0.6333
 Best site-Art                       | Epoch:4 | Val Acc: 0.5385
 Best site-Art                       | Epoch:4 | Val Acc: 0.7400
 Best site-Art                       | Epoch:4 | Val Acc: 0.7538
 Best site-Art                       | Epoch:4 | Val Acc: 0.7262
 Best site-Art                       | Epoch:4 | Val Acc: 0.7222
 Best site-Art                       | Epoch:4 | Val Acc: 0.7071
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.9500
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.6444
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.7463
 Best site-RealWorld                 | Epoch:4 | Val Acc: 0.7921
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.4750
 Best site-Clipart                   | Epoch:4 | Val Acc: 0.4815
 Best site-Product                   | Epoch:4 | Val Acc: 0.6964
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 5 ============
 Site-Art                           | Train Loss: 2.1012 | Train Acc: 0.6667
 Site-Art                           | Train Loss: 2.1559 | Train Acc: 0.7407
 Site-Art                           | Train Loss: 2.1579 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 2.2120 | Train Acc: 0.7333
 Site-Art                           | Train Loss: 2.0870 | Train Acc: 0.7414
 Site-Art                           | Train Loss: 2.2420 | Train Acc: 0.7067
 Site-Art                           | Train Loss: 1.9162 | Train Acc: 0.7629
 Site-Art                           | Train Loss: 2.0174 | Train Acc: 0.7540
 Site-Art                           | Train Loss: 2.1247 | Train Acc: 0.6503
 Site-Art                           | Train Loss: 1.7584 | Train Acc: 0.8238
 Site-RealWorld                     | Train Loss: 2.1060 | Train Acc: 0.7667
 Site-RealWorld                     | Train Loss: 1.8947 | Train Acc: 0.8222
 Site-RealWorld                     | Train Loss: 1.6633 | Train Acc: 0.7353
 Site-RealWorld                     | Train Loss: 2.1019 | Train Acc: 0.7624
 Site-RealWorld                     | Train Loss: 1.8599 | Train Acc: 0.8092
 Site-Clipart                       | Train Loss: 2.4779 | Train Acc: 0.5574
 Site-Clipart                       | Train Loss: 2.6510 | Train Acc: 0.4836
 Site-Product                       | Train Loss: 2.3563 | Train Acc: 0.6588
Average Train Accuracy: 0.7161
 Site-Art                           | Val  Loss: 2.5941 | Val  Acc: 0.6429
 Site-Art                           | Val  Loss: 2.5471 | Val  Acc: 0.5000
 Site-Art                           | Val  Loss: 2.1540 | Val  Acc: 0.6957
 Site-Art                           | Val  Loss: 1.8801 | Val  Acc: 0.7333
 Site-Art                           | Val  Loss: 2.4322 | Val  Acc: 0.5641
 Site-Art                           | Val  Loss: 1.9836 | Val  Acc: 0.7600
 Site-Art                           | Val  Loss: 2.5664 | Val  Acc: 0.7692
 Site-Art                           | Val  Loss: 1.9164 | Val  Acc: 0.7500
 Site-Art                           | Val  Loss: 1.9012 | Val  Acc: 0.7593
 Site-Art                           | Val  Loss: 2.0113 | Val  Acc: 0.6929
 Site-RealWorld                     | Val  Loss: 1.6945 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 1.9742 | Val  Acc: 0.8333
 Site-RealWorld                     | Val  Loss: 2.1932 | Val  Acc: 0.7111
 Site-RealWorld                     | Val  Loss: 1.5548 | Val  Acc: 0.7313
 Site-RealWorld                     | Val  Loss: 1.8561 | Val  Acc: 0.8416
 Site-Clipart                       | Val  Loss: 2.6879 | Val  Acc: 0.4500
 Site-Clipart                       | Val  Loss: 2.6696 | Val  Acc: 0.4691
 Site-Product                       | Val  Loss: 2.1135 | Val  Acc: 0.7321
Average Valid Accuracy: 0.6964
 Best site-Art                       | Epoch:5 | Val Acc: 0.6429
 Best site-Art                       | Epoch:5 | Val Acc: 0.5000
 Best site-Art                       | Epoch:5 | Val Acc: 0.6957
 Best site-Art                       | Epoch:5 | Val Acc: 0.7333
 Best site-Art                       | Epoch:5 | Val Acc: 0.5641
 Best site-Art                       | Epoch:5 | Val Acc: 0.7600
 Best site-Art                       | Epoch:5 | Val Acc: 0.7692
 Best site-Art                       | Epoch:5 | Val Acc: 0.7500
 Best site-Art                       | Epoch:5 | Val Acc: 0.7593
 Best site-Art                       | Epoch:5 | Val Acc: 0.6929
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.9000
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.8333
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.7111
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.7313
 Best site-RealWorld                 | Epoch:5 | Val Acc: 0.8416
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.4500
 Best site-Clipart                   | Epoch:5 | Val Acc: 0.4691
 Best site-Product                   | Epoch:5 | Val Acc: 0.7321
 Saving the local and server checkpoint to ../checkpoint/fed_officehome_uneven_2.16_1/harmo-fl...
============ Train epoch 6 ============
 Site-Art                           | Train Loss: 1.8845 | Train Acc: 0.7619
 Site-Art                           | Train Loss: 1.9266 | Train Acc: 0.8148
 Site-Art                           | Train Loss: 1.9114 | Train Acc: 0.7714
 Site-Art                           | Train Loss: 2.0909 | Train Acc: 0.6889
 Site-Art                           | Train Loss: 1.8321 | Train Acc: 0.7586
 Site-Art                           | Train Loss: 1.7881 | Train Acc: 0.7467
 Site-Art                           | Train Loss: 1.5842 | Train Acc: 0.7938
 Site-Art                           | Train Loss: 1.8351 | Train Acc: 0.7937
 Site-Art                           | Train Loss: 1.9351 | Train Acc: 0.7239
 Site-Art                           | Train Loss: 1.5269 | Train Acc: 0.8524
 Site-RealWorld                     | Train Loss: 1.8996 | Train Acc: 0.7667
 Site-RealWorld                     | Train Loss: 1.6252 | Train Acc: 0.8667
 Site-RealWorld                     | Train Loss: 1.6065 | Train Acc: 0.7647
 Site-RealWorld                     | Train Loss: 1.8085 | Train Acc: 0.7921
 Site-RealWorld                     | Train Loss: 1.6294 | Train Acc: 0.8421
 Site-Clipart                       | Train Loss: 2.3202 | Train Acc: 0.5738
 Site-Clipart                       | Train Loss: 2.5051 | Train Acc: 0.5492
 Site-Product                       | Train Loss: 1.8432 | Train Acc: 0.7176
Average Train Accuracy: 0.7544
 Site-Art                           | Val  Loss: 2.1888 | Val  Acc: 0.5714
 Site-Art                           | Val  Loss: 2.4140 | Val  Acc: 0.4444
 Site-Art                           | Val  Loss: 2.0593 | Val  Acc: 0.6522
 Site-Art                           | Val  Loss: 1.7851 | Val  Acc: 0.7000
 Site-Art                           | Val  Loss: 2.2238 | Val  Acc: 0.6154
 Site-Art                           | Val  Loss: 1.8307 | Val  Acc: 0.7400
 Site-Art                           | Val  Loss: 2.4553 | Val  Acc: 0.7538
 Site-Art                           | Val  Loss: 1.7288 | Val  Acc: 0.7143
 Site-Art                           | Val  Loss: 1.7102 | Val  Acc: 0.7593
 Site-Art                           | Val  Loss: 1.8104 | Val  Acc: 0.6929
 Site-RealWorld                     | Val  Loss: 1.4006 | Val  Acc: 0.9500
 Site-RealWorld                     | Val  Loss: 1.5941 | Val  Acc: 0.9000
 Site-RealWorld                     | Val  Loss: 1.9346 | Val  Acc: 0.6889
 Site-RealWorld                     | Val  Loss: 1.2557 | Val  Acc: 0.7463
 Site-RealWorld                     | Val  Loss: 1.6785 | Val  Acc: 0.8614
 Site-Clipart                       | Val  Loss: 2.6101 | Val  Acc: 0.4250
 Site-Clipart                       | Val  Loss: 2.3873 | Val  Acc: 0.5185
 Site-Product                       | Val  Loss: 1.9507 | Val  Acc: 0.7143
Average Valid Accuracy: 0.6916
============ Train epoch 7 ============
 Site-Art                           | Train Loss: 1.7640 | Train Acc: 0.7619
 Site-Art                           | Train Loss: 1.7821 | Train Acc: 0.7037
 Site-Art                           | Train Loss: 1.9229 | Train Acc: 0.7143
 Site-Art                           | Train Loss: 1.7819 | Train Acc: 0.7333
 Site-Art                           | Train Loss: 1.7167 | Train Acc: 0.7241
 Site-Art                           | Train Loss: 1.5975 | Train Acc: 0.7467
 Site-Art                           | Train Loss: 1.4222 | Train Acc: 0.8144
 Site-Art                           | Train Loss: 1.5897 | Train Acc: 0.7778
 Site-Art                           | Train Loss: 1.7569 | Train Acc: 0.6933
 Site-Art                           | Train Loss: 1.3385 | Train Acc: 0.8333
 Site-RealWorld                     | Train Loss: 1.6532 | Train Acc: 0.8000
 Site-RealWorld                     | Train Loss: 1.3852 | Train Acc: 0.8667
