===2023-08-17 02:56:14===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 02:56:16===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
===2023-08-17 04:42:02===
===Setting===
    dataset: pacs
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    domain_num: 4
data_number=[18,23,30,38,50,64,83,107,139,180,15,28,49,88,157,14,142,72,
client_nums=[10,5,2,1,]
len_dataset=[1227,568,262,121,]
domain number = 4
============ Train epoch 0 ============
 Site-art_painting                  | Train Loss: 1.3586 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 1.0927 | Train Acc: 0.6522
 Site-art_painting                  | Train Loss: 1.1081 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.8845 | Train Acc: 0.9211
 Site-art_painting                  | Train Loss: 1.1007 | Train Acc: 0.7200
 Site-art_painting                  | Train Loss: 0.8714 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 1.0089 | Train Acc: 0.8313
 Site-art_painting                  | Train Loss: 1.0243 | Train Acc: 0.8598
 Site-art_painting                  | Train Loss: 1.0089 | Train Acc: 0.7914
 Site-art_painting                  | Train Loss: 0.9868 | Train Acc: 0.8167
 Site-photo                         | Train Loss: 0.5747 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.6889 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.6536 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.6833 | Train Acc: 0.9545
 Site-photo                         | Train Loss: 0.5850 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.4378 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 1.5634 | Train Acc: 0.5493
 Site-cartoon                       | Train Loss: 1.3590 | Train Acc: 0.6111
Average Train Accuracy: 0.8319
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.6522
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:1 | Val Acc: 0.9211
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7200
 Best site-art_painting              | Epoch:1 | Val Acc: 0.9062
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8313
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8598
 Best site-art_painting              | Epoch:1 | Val Acc: 0.7914
 Best site-art_painting              | Epoch:1 | Val Acc: 0.8167
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-photo                     | Epoch:1 | Val Acc: 0.9796
 Best site-photo                     | Epoch:1 | Val Acc: 0.9545
 Best site-photo                     | Epoch:1 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:1 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:1 | Val Acc: 0.5493
 Best site-cartoon                   | Epoch:1 | Val Acc: 0.6111
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 2 ============
 Site-art_painting                  | Train Loss: 0.7336 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.9532 | Train Acc: 0.6522
 Site-art_painting                  | Train Loss: 0.8401 | Train Acc: 0.8000
 Site-art_painting                  | Train Loss: 0.6636 | Train Acc: 0.9211
 Site-art_painting                  | Train Loss: 0.8613 | Train Acc: 0.7800
 Site-art_painting                  | Train Loss: 0.6597 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 0.7607 | Train Acc: 0.8795
 Site-art_painting                  | Train Loss: 0.7040 | Train Acc: 0.9065
 Site-art_painting                  | Train Loss: 0.7659 | Train Acc: 0.8489
 Site-art_painting                  | Train Loss: 0.7490 | Train Acc: 0.8722
 Site-photo                         | Train Loss: 0.2851 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.4050 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.3708 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.4308 | Train Acc: 0.9545
 Site-photo                         | Train Loss: 0.3163 | Train Acc: 0.9873
 Site-sketch                        | Train Loss: 1.3690 | Train Acc: 0.6429
 Site-sketch                        | Train Loss: 1.4374 | Train Acc: 0.6127
 Site-cartoon                       | Train Loss: 1.2156 | Train Acc: 0.6528
Average Train Accuracy: 0.8461
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:2 | Val Acc: 0.6522
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8000
 Best site-art_painting              | Epoch:2 | Val Acc: 0.9211
 Best site-art_painting              | Epoch:2 | Val Acc: 0.7800
 Best site-art_painting              | Epoch:2 | Val Acc: 0.9062
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8795
 Best site-art_painting              | Epoch:2 | Val Acc: 0.9065
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8489
 Best site-art_painting              | Epoch:2 | Val Acc: 0.8722
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 1.0000
 Best site-photo                     | Epoch:2 | Val Acc: 0.9796
 Best site-photo                     | Epoch:2 | Val Acc: 0.9545
 Best site-photo                     | Epoch:2 | Val Acc: 0.9873
 Best site-sketch                    | Epoch:2 | Val Acc: 0.6429
 Best site-sketch                    | Epoch:2 | Val Acc: 0.6127
 Best site-cartoon                   | Epoch:2 | Val Acc: 0.6528
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 3 ============
 Site-art_painting                  | Train Loss: 0.6108 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.6916 | Train Acc: 0.8696
 Site-art_painting                  | Train Loss: 0.7441 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.4026 | Train Acc: 0.8684
 Site-art_painting                  | Train Loss: 0.7133 | Train Acc: 0.8000
 Site-art_painting                  | Train Loss: 0.5177 | Train Acc: 0.8906
 Site-art_painting                  | Train Loss: 0.5896 | Train Acc: 0.8916
 Site-art_painting                  | Train Loss: 0.5923 | Train Acc: 0.9065
 Site-art_painting                  | Train Loss: 0.6021 | Train Acc: 0.8705
 Site-art_painting                  | Train Loss: 0.5923 | Train Acc: 0.9000
 Site-photo                         | Train Loss: 0.1567 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2300 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2061 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2546 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.1678 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.2504 | Train Acc: 0.6429
 Site-sketch                        | Train Loss: 1.3019 | Train Acc: 0.6056
 Site-cartoon                       | Train Loss: 1.1084 | Train Acc: 0.5972
Average Train Accuracy: 0.8678
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9444
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8696
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8684
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8000
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8906
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8916
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9065
 Best site-art_painting              | Epoch:3 | Val Acc: 0.8705
 Best site-art_painting              | Epoch:3 | Val Acc: 0.9000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-photo                     | Epoch:3 | Val Acc: 0.9659
 Best site-photo                     | Epoch:3 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:3 | Val Acc: 0.6429
 Best site-sketch                    | Epoch:3 | Val Acc: 0.6056
 Best site-cartoon                   | Epoch:3 | Val Acc: 0.5972
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 4 ============
 Site-art_painting                  | Train Loss: 0.5858 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.7560 | Train Acc: 0.6957
 Site-art_painting                  | Train Loss: 0.6355 | Train Acc: 0.9000
 Site-art_painting                  | Train Loss: 0.2699 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.6032 | Train Acc: 0.8600
 Site-art_painting                  | Train Loss: 0.4395 | Train Acc: 0.8906
 Site-art_painting                  | Train Loss: 0.4885 | Train Acc: 0.9036
 Site-art_painting                  | Train Loss: 0.4415 | Train Acc: 0.9065
 Site-art_painting                  | Train Loss: 0.5123 | Train Acc: 0.8705
 Site-art_painting                  | Train Loss: 0.4656 | Train Acc: 0.9222
 Site-photo                         | Train Loss: 0.0754 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1464 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1144 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.2093 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.1100 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.3762 | Train Acc: 0.5714
 Site-sketch                        | Train Loss: 1.2154 | Train Acc: 0.5634
 Site-cartoon                       | Train Loss: 1.1045 | Train Acc: 0.5972
Average Train Accuracy: 0.8647
============ Train epoch 5 ============
 Site-art_painting                  | Train Loss: 0.5438 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.6805 | Train Acc: 0.7826
 Site-art_painting                  | Train Loss: 0.5544 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.3610 | Train Acc: 0.9474
 Site-art_painting                  | Train Loss: 0.5667 | Train Acc: 0.8600
 Site-art_painting                  | Train Loss: 0.4074 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 0.4210 | Train Acc: 0.9157
 Site-art_painting                  | Train Loss: 0.3980 | Train Acc: 0.9439
 Site-art_painting                  | Train Loss: 0.4406 | Train Acc: 0.8777
 Site-art_painting                  | Train Loss: 0.4111 | Train Acc: 0.9278
 Site-photo                         | Train Loss: 0.0440 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1355 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0815 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1642 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0633 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.0270 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 1.1585 | Train Acc: 0.6127
 Site-cartoon                       | Train Loss: 1.0282 | Train Acc: 0.6111
Average Train Accuracy: 0.8771
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8889
 Best site-art_painting              | Epoch:5 | Val Acc: 0.7826
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8333
 Best site-art_painting              | Epoch:5 | Val Acc: 0.9474
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8600
 Best site-art_painting              | Epoch:5 | Val Acc: 0.9062
 Best site-art_painting              | Epoch:5 | Val Acc: 0.9157
 Best site-art_painting              | Epoch:5 | Val Acc: 0.9439
 Best site-art_painting              | Epoch:5 | Val Acc: 0.8777
 Best site-art_painting              | Epoch:5 | Val Acc: 0.9278
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-photo                     | Epoch:5 | Val Acc: 0.9659
 Best site-photo                     | Epoch:5 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:5 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:5 | Val Acc: 0.6127
 Best site-cartoon                   | Epoch:5 | Val Acc: 0.6111
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 6 ============
 Site-art_painting                  | Train Loss: 0.4086 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.5078 | Train Acc: 0.9130
 Site-art_painting                  | Train Loss: 0.4735 | Train Acc: 0.9333
 Site-art_painting                  | Train Loss: 0.6638 | Train Acc: 0.8684
 Site-art_painting                  | Train Loss: 0.5985 | Train Acc: 0.8400
 Site-art_painting                  | Train Loss: 0.3359 | Train Acc: 0.9219
 Site-art_painting                  | Train Loss: 0.3853 | Train Acc: 0.9398
 Site-art_painting                  | Train Loss: 0.3891 | Train Acc: 0.9159
 Site-art_painting                  | Train Loss: 0.3738 | Train Acc: 0.9424
 Site-art_painting                  | Train Loss: 0.3748 | Train Acc: 0.9056
 Site-photo                         | Train Loss: 0.0296 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1001 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0707 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1333 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0643 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.0143 | Train Acc: 0.7857
 Site-sketch                        | Train Loss: 1.1637 | Train Acc: 0.5775
 Site-cartoon                       | Train Loss: 0.9319 | Train Acc: 0.6389
Average Train Accuracy: 0.8937
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9444
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9130
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9333
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8684
 Best site-art_painting              | Epoch:6 | Val Acc: 0.8400
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9219
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9398
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9159
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9424
 Best site-art_painting              | Epoch:6 | Val Acc: 0.9056
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 1.0000
 Best site-photo                     | Epoch:6 | Val Acc: 0.9659
 Best site-photo                     | Epoch:6 | Val Acc: 0.9936
 Best site-sketch                    | Epoch:6 | Val Acc: 0.7857
 Best site-sketch                    | Epoch:6 | Val Acc: 0.5775
 Best site-cartoon                   | Epoch:6 | Val Acc: 0.6389
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 7 ============
 Site-art_painting                  | Train Loss: 0.3614 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.6447 | Train Acc: 0.7391
 Site-art_painting                  | Train Loss: 0.5407 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.1829 | Train Acc: 0.9474
 Site-art_painting                  | Train Loss: 0.4897 | Train Acc: 0.8400
 Site-art_painting                  | Train Loss: 0.3149 | Train Acc: 0.9375
 Site-art_painting                  | Train Loss: 0.3447 | Train Acc: 0.9277
 Site-art_painting                  | Train Loss: 0.2717 | Train Acc: 0.9346
 Site-art_painting                  | Train Loss: 0.3043 | Train Acc: 0.9065
 Site-art_painting                  | Train Loss: 0.3546 | Train Acc: 0.9278
 Site-photo                         | Train Loss: 0.0190 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0614 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0538 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.1316 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0305 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 0.9717 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 1.1139 | Train Acc: 0.6127
 Site-cartoon                       | Train Loss: 1.0156 | Train Acc: 0.6528
Average Train Accuracy: 0.8812
============ Train epoch 8 ============
 Site-art_painting                  | Train Loss: 0.4553 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.6794 | Train Acc: 0.6957
 Site-art_painting                  | Train Loss: 0.5038 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.2703 | Train Acc: 0.8421
 Site-art_painting                  | Train Loss: 0.5549 | Train Acc: 0.7800
 Site-art_painting                  | Train Loss: 0.2673 | Train Acc: 0.9531
 Site-art_painting                  | Train Loss: 0.3468 | Train Acc: 0.8916
 Site-art_painting                  | Train Loss: 0.3638 | Train Acc: 0.9065
 Site-art_painting                  | Train Loss: 0.3027 | Train Acc: 0.9065
 Site-art_painting                  | Train Loss: 0.3045 | Train Acc: 0.9278
 Site-photo                         | Train Loss: 0.0170 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0564 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0577 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.1179 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0250 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 1.0332 | Train Acc: 0.6429
 Site-sketch                        | Train Loss: 1.0122 | Train Acc: 0.6549
 Site-cartoon                       | Train Loss: 1.0416 | Train Acc: 0.6389
Average Train Accuracy: 0.8615
============ Train epoch 9 ============
 Site-art_painting                  | Train Loss: 0.3998 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.5959 | Train Acc: 0.8261
 Site-art_painting                  | Train Loss: 0.4369 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.2090 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.4521 | Train Acc: 0.9000
 Site-art_painting                  | Train Loss: 0.2538 | Train Acc: 0.9219
 Site-art_painting                  | Train Loss: 0.3245 | Train Acc: 0.9398
 Site-art_painting                  | Train Loss: 0.3247 | Train Acc: 0.9159
 Site-art_painting                  | Train Loss: 0.2559 | Train Acc: 0.9496
 Site-art_painting                  | Train Loss: 0.2648 | Train Acc: 0.9556
 Site-photo                         | Train Loss: 0.0139 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0509 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0716 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.0890 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0215 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 0.9230 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 1.0227 | Train Acc: 0.6408
 Site-cartoon                       | Train Loss: 0.9766 | Train Acc: 0.6389
Average Train Accuracy: 0.8963
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9444
 Best site-art_painting              | Epoch:9 | Val Acc: 0.8261
 Best site-art_painting              | Epoch:9 | Val Acc: 0.8667
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9737
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9000
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9219
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9398
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9159
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9496
 Best site-art_painting              | Epoch:9 | Val Acc: 0.9556
 Best site-photo                     | Epoch:9 | Val Acc: 1.0000
 Best site-photo                     | Epoch:9 | Val Acc: 1.0000
 Best site-photo                     | Epoch:9 | Val Acc: 0.9796
 Best site-photo                     | Epoch:9 | Val Acc: 0.9659
 Best site-photo                     | Epoch:9 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:9 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:9 | Val Acc: 0.6408
 Best site-cartoon                   | Epoch:9 | Val Acc: 0.6389
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 10 ============
 Site-art_painting                  | Train Loss: 0.2954 | Train Acc: 0.9444
 Site-art_painting                  | Train Loss: 0.5978 | Train Acc: 0.8261
 Site-art_painting                  | Train Loss: 0.5140 | Train Acc: 0.9000
 Site-art_painting                  | Train Loss: 0.1366 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.3349 | Train Acc: 0.9200
 Site-art_painting                  | Train Loss: 0.2478 | Train Acc: 0.9375
 Site-art_painting                  | Train Loss: 0.3659 | Train Acc: 0.9277
 Site-art_painting                  | Train Loss: 0.2294 | Train Acc: 0.9439
 Site-art_painting                  | Train Loss: 0.2548 | Train Acc: 0.9137
 Site-art_painting                  | Train Loss: 0.2755 | Train Acc: 0.9333
 Site-photo                         | Train Loss: 0.0109 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0270 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0630 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.1204 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0178 | Train Acc: 1.0000
 Site-sketch                        | Train Loss: 0.8821 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 0.9442 | Train Acc: 0.6690
 Site-cartoon                       | Train Loss: 1.1984 | Train Acc: 0.6389
Average Train Accuracy: 0.8993
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9444
 Best site-art_painting              | Epoch:10 | Val Acc: 0.8261
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9000
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9737
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9200
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9375
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9277
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9439
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9137
 Best site-art_painting              | Epoch:10 | Val Acc: 0.9333
 Best site-photo                     | Epoch:10 | Val Acc: 1.0000
 Best site-photo                     | Epoch:10 | Val Acc: 1.0000
 Best site-photo                     | Epoch:10 | Val Acc: 0.9796
 Best site-photo                     | Epoch:10 | Val Acc: 0.9659
 Best site-photo                     | Epoch:10 | Val Acc: 1.0000
 Best site-sketch                    | Epoch:10 | Val Acc: 0.7143
 Best site-sketch                    | Epoch:10 | Val Acc: 0.6690
 Best site-cartoon                   | Epoch:10 | Val Acc: 0.6389
 Saving the local and server checkpoint to ../checkpoint/fed_pacs_uneven_2.16_1_shuffle/harmo-fl...
============ Train epoch 11 ============
 Site-art_painting                  | Train Loss: 0.4063 | Train Acc: 0.8333
 Site-art_painting                  | Train Loss: 0.5199 | Train Acc: 0.8261
 Site-art_painting                  | Train Loss: 0.5127 | Train Acc: 0.8667
 Site-art_painting                  | Train Loss: 0.2602 | Train Acc: 0.9211
 Site-art_painting                  | Train Loss: 0.5067 | Train Acc: 0.8400
 Site-art_painting                  | Train Loss: 0.2495 | Train Acc: 0.9531
 Site-art_painting                  | Train Loss: 0.3432 | Train Acc: 0.9277
 Site-art_painting                  | Train Loss: 0.3085 | Train Acc: 0.9159
 Site-art_painting                  | Train Loss: 0.2851 | Train Acc: 0.9496
 Site-art_painting                  | Train Loss: 0.2305 | Train Acc: 0.9611
 Site-photo                         | Train Loss: 0.0067 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0271 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0416 | Train Acc: 0.9796
 Site-photo                         | Train Loss: 0.0954 | Train Acc: 0.9659
 Site-photo                         | Train Loss: 0.0233 | Train Acc: 0.9936
 Site-sketch                        | Train Loss: 1.0092 | Train Acc: 0.7143
 Site-sketch                        | Train Loss: 0.8839 | Train Acc: 0.7324
 Site-cartoon                       | Train Loss: 0.9774 | Train Acc: 0.6528
Average Train Accuracy: 0.8907
============ Train epoch 12 ============
 Site-art_painting                  | Train Loss: 0.4343 | Train Acc: 0.8889
 Site-art_painting                  | Train Loss: 0.5759 | Train Acc: 0.8696
 Site-art_painting                  | Train Loss: 0.4333 | Train Acc: 0.9000
 Site-art_painting                  | Train Loss: 0.1476 | Train Acc: 0.9737
 Site-art_painting                  | Train Loss: 0.3503 | Train Acc: 0.9200
 Site-art_painting                  | Train Loss: 0.2774 | Train Acc: 0.9062
 Site-art_painting                  | Train Loss: 0.3593 | Train Acc: 0.9157
 Site-art_painting                  | Train Loss: 0.2715 | Train Acc: 0.9439
 Site-art_painting                  | Train Loss: 0.2378 | Train Acc: 0.9424
 Site-art_painting                  | Train Loss: 0.2478 | Train Acc: 0.9389
 Site-photo                         | Train Loss: 0.0048 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0477 | Train Acc: 1.0000
 Site-photo                         | Train Loss: 0.0571 | Train Acc: 0.9592
 Site-photo                         | Train Loss: 0.1179 | Train Acc: 0.9659
