===2023-06-29 18:52:12===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
cnt=[10, 6, 3, 2, 1, ]
cnt=[6, 10, 3, 1, 2, ]
 Site-USPS                          | Train Loss: 1.4603 | Train Acc: 0.8333
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/only_dcnet...
============ Train epoch 2 ============
cnt=[2, 10, 6, 1, 3, ]
cnt=[1, 9, 3, 6, 3, ]
 Site-USPS                          | Train Loss: 0.5939 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.5403 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.7336 | Train Acc: 0.8571
 Site-USPS                          | Train Loss: 0.7361 | Train Acc: 0.8421
 Site-USPS                          | Train Loss: 0.7459 | Train Acc: 0.8714
 Site-USPS                          | Train Loss: 0.6817 | Train Acc: 0.8730
 Site-USPS                          | Train Loss: 0.7368 | Train Acc: 0.8767
 Site-USPS                          | Train Loss: 0.6947 | Train Acc: 0.8606
 Site-USPS                          | Train Loss: 0.7101 | Train Acc: 0.8587
 Site-USPS                          | Train Loss: 0.6689 | Train Acc: 0.8785
 Site-MNIST                         | Train Loss: 1.0201 | Train Acc: 0.7750
 Site-MNIST                         | Train Loss: 0.9950 | Train Acc: 0.7639
 Site-MNIST                         | Train Loss: 1.1554 | Train Acc: 0.7829
 Site-MNIST                         | Train Loss: 0.9759 | Train Acc: 0.8069
 Site-MNIST                         | Train Loss: 1.0781 | Train Acc: 0.7714
 Site-MNIST                         | Train Loss: 1.0594 | Train Acc: 0.7513
 Site-SynthDigits                   | Train Loss: 1.8435 | Train Acc: 0.3775
 Site-SynthDigits                   | Train Loss: 1.9266 | Train Acc: 0.2894
 Site-SynthDigits                   | Train Loss: 1.8415 | Train Acc: 0.3381
 Site-SVHN                          | Train Loss: 2.1397 | Train Acc: 0.2099
 Site-SVHN                          | Train Loss: 2.1173 | Train Acc: 0.2783
 Site-MNIST_M                       | Train Loss: 2.1259 | Train Acc: 0.2447
Average Train Accuracy: 0.6958
 Site-USPS                          | Val  Loss: 2.1399 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.5104 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 1.3085 | Val  Acc: 0.4000
 Site-USPS                          | Val  Loss: 0.7845 | Val  Acc: 0.7778
 Site-USPS                          | Val  Loss: 0.7246 | Val  Acc: 0.8235
 Site-USPS                          | Val  Loss: 0.6367 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.6475 | Val  Acc: 0.8571
 Site-USPS                          | Val  Loss: 0.6455 | Val  Acc: 0.8627
 Site-USPS                          | Val  Loss: 0.7064 | Val  Acc: 0.8634
 Site-USPS                          | Val  Loss: 0.7062 | Val  Acc: 0.8550
 Site-MNIST                         | Val  Loss: 1.1072 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 0.9448 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.9489 | Val  Acc: 0.7812
 Site-MNIST                         | Val  Loss: 1.0259 | Val  Acc: 0.7586
 Site-MNIST                         | Val  Loss: 0.9923 | Val  Acc: 0.7810
 Site-MNIST                         | Val  Loss: 0.9543 | Val  Acc: 0.8466
 Site-SynthDigits                   | Val  Loss: 1.9878 | Val  Acc: 0.3514
 Site-SynthDigits                   | Val  Loss: 1.9283 | Val  Acc: 0.3235
 Site-SynthDigits                   | Val  Loss: 1.8989 | Val  Acc: 0.3033
 Site-SVHN                          | Val  Loss: 2.0596 | Val  Acc: 0.2889
 Site-SVHN                          | Val  Loss: 2.0321 | Val  Acc: 0.2222
 Site-MNIST_M                       | Val  Loss: 2.2965 | Val  Acc: 0.2143
Average Valid Accuracy: 0.6026
 Best site-USPS                      | Epoch:2 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:2 | Val Acc: 0.4000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.7778
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8235
 Best site-USPS                      | Epoch:2 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8571
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8627
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8634
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8550
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7812
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7586
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7810
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8466
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.3514
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.3235
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.3033
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.2889
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.2222
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.2143
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/only_dcnet...
============ Train epoch 3 ============
cnt=[10, 3, 6, 1, 2, ]
cnt=[2, 10, 6, 3, 1, ]
 Site-USPS                          | Train Loss: 0.4745 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 0.4506 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.6259 | Train Acc: 0.8095
 Site-USPS                          | Train Loss: 0.6114 | Train Acc: 0.8421
 Site-USPS                          | Train Loss: 0.4776 | Train Acc: 0.9143
 Site-USPS                          | Train Loss: 0.5610 | Train Acc: 0.8968
 Site-USPS                          | Train Loss: 0.6169 | Train Acc: 0.8767
 Site-USPS                          | Train Loss: 0.5935 | Train Acc: 0.8557
 Site-USPS                          | Train Loss: 0.5960 | Train Acc: 0.8668
 Site-USPS                          | Train Loss: 0.5464 | Train Acc: 0.8883
 Site-MNIST                         | Train Loss: 0.8441 | Train Acc: 0.8250
 Site-MNIST                         | Train Loss: 0.8178 | Train Acc: 0.7639
 Site-MNIST                         | Train Loss: 0.6925 | Train Acc: 0.8140
 Site-MNIST                         | Train Loss: 0.8290 | Train Acc: 0.8283
 Site-MNIST                         | Train Loss: 0.9271 | Train Acc: 0.7881
 Site-MNIST                         | Train Loss: 0.9078 | Train Acc: 0.7765
 Site-SynthDigits                   | Train Loss: 1.7828 | Train Acc: 0.4040
 Site-SynthDigits                   | Train Loss: 1.8394 | Train Acc: 0.3260
 Site-SynthDigits                   | Train Loss: 1.7497 | Train Acc: 0.3931
 Site-SVHN                          | Train Loss: 2.1015 | Train Acc: 0.2265
 Site-SVHN                          | Train Loss: 2.0534 | Train Acc: 0.2844
 Site-MNIST_M                       | Train Loss: 2.0522 | Train Acc: 0.2872
Average Train Accuracy: 0.7008
 Site-USPS                          | Val  Loss: 1.9493 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.3421 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 1.1873 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 0.6683 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 0.6019 | Val  Acc: 0.8235
 Site-USPS                          | Val  Loss: 0.4986 | Val  Acc: 0.9355
 Site-USPS                          | Val  Loss: 0.5254 | Val  Acc: 0.8750
 Site-USPS                          | Val  Loss: 0.5222 | Val  Acc: 0.8529
 Site-USPS                          | Val  Loss: 0.5797 | Val  Acc: 0.8525
 Site-USPS                          | Val  Loss: 0.5824 | Val  Acc: 0.8610
 Site-MNIST                         | Val  Loss: 0.9560 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 0.8016 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.7856 | Val  Acc: 0.8438
 Site-MNIST                         | Val  Loss: 0.8708 | Val  Acc: 0.8103
 Site-MNIST                         | Val  Loss: 0.8350 | Val  Acc: 0.8286
 Site-MNIST                         | Val  Loss: 0.7994 | Val  Acc: 0.8571
 Site-SynthDigits                   | Val  Loss: 1.9066 | Val  Acc: 0.3784
 Site-SynthDigits                   | Val  Loss: 1.8350 | Val  Acc: 0.3676
 Site-SynthDigits                   | Val  Loss: 1.8309 | Val  Acc: 0.3607
 Site-SVHN                          | Val  Loss: 2.0048 | Val  Acc: 0.3778
 Site-SVHN                          | Val  Loss: 1.9819 | Val  Acc: 0.2716
 Site-MNIST_M                       | Val  Loss: 2.2400 | Val  Acc: 0.2429
Average Valid Accuracy: 0.5962
============ Train epoch 4 ============
cnt=[3, 10, 1, 6, 2, ]
cnt=[3, 9, 3, 1, 6, ]
 Site-USPS                          | Train Loss: 0.3918 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.3451 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.5250 | Train Acc: 0.8571
 Site-USPS                          | Train Loss: 0.5087 | Train Acc: 0.8947
 Site-USPS                          | Train Loss: 0.5185 | Train Acc: 0.9286
 Site-USPS                          | Train Loss: 0.4674 | Train Acc: 0.9048
 Site-USPS                          | Train Loss: 0.5273 | Train Acc: 0.8943
 Site-USPS                          | Train Loss: 0.4927 | Train Acc: 0.9046
 Site-USPS                          | Train Loss: 0.4989 | Train Acc: 0.8995
 Site-USPS                          | Train Loss: 0.4589 | Train Acc: 0.9049
 Site-MNIST                         | Train Loss: 0.7627 | Train Acc: 0.8250
 Site-MNIST                         | Train Loss: 0.7109 | Train Acc: 0.8194
 Site-MNIST                         | Train Loss: 0.6535 | Train Acc: 0.8062
 Site-MNIST                         | Train Loss: 0.7394 | Train Acc: 0.8541
 Site-MNIST                         | Train Loss: 0.8290 | Train Acc: 0.8095
 Site-MNIST                         | Train Loss: 0.8097 | Train Acc: 0.8056
 Site-SynthDigits                   | Train Loss: 1.7643 | Train Acc: 0.4371
 Site-SynthDigits                   | Train Loss: 1.7661 | Train Acc: 0.3516
 Site-SynthDigits                   | Train Loss: 1.6501 | Train Acc: 0.4236
 Site-SVHN                          | Train Loss: 2.1010 | Train Acc: 0.2320
 Site-SVHN                          | Train Loss: 2.0222 | Train Acc: 0.2997
 Site-MNIST_M                       | Train Loss: 2.0581 | Train Acc: 0.2801
Average Train Accuracy: 0.7295
 Site-USPS                          | Val  Loss: 1.6791 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.1065 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 1.0174 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.5536 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4907 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.4087 | Val  Acc: 0.9355
 Site-USPS                          | Val  Loss: 0.4442 | Val  Acc: 0.8929
 Site-USPS                          | Val  Loss: 0.4398 | Val  Acc: 0.9118
 Site-USPS                          | Val  Loss: 0.4837 | Val  Acc: 0.8962
 Site-USPS                          | Val  Loss: 0.4917 | Val  Acc: 0.8943
 Site-MNIST                         | Val  Loss: 0.8909 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 0.7118 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.6975 | Val  Acc: 0.8438
 Site-MNIST                         | Val  Loss: 0.7982 | Val  Acc: 0.8276
 Site-MNIST                         | Val  Loss: 0.7585 | Val  Acc: 0.8667
 Site-MNIST                         | Val  Loss: 0.7215 | Val  Acc: 0.8730
 Site-SynthDigits                   | Val  Loss: 1.8209 | Val  Acc: 0.4054
 Site-SynthDigits                   | Val  Loss: 1.7502 | Val  Acc: 0.3676
 Site-SynthDigits                   | Val  Loss: 1.7497 | Val  Acc: 0.3525
 Site-SVHN                          | Val  Loss: 2.0026 | Val  Acc: 0.3333
 Site-SVHN                          | Val  Loss: 1.9551 | Val  Acc: 0.2593
 Site-MNIST_M                       | Val  Loss: 2.2263 | Val  Acc: 0.2571
Average Valid Accuracy: 0.6656
 Best site-USPS                      | Epoch:4 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:4 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:4 | Val Acc: 0.9355
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8929
 Best site-USPS                      | Epoch:4 | Val Acc: 0.9118
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8962
 Best site-USPS                      | Epoch:4 | Val Acc: 0.8943
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8438
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8276
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8667
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.8730
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.4054
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.3676
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.3525
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.3333
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.2593
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.2571
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/only_dcnet...
============ Train epoch 5 ============
cnt=[10, 3, 1, 6, 2, ]
cnt=[1, 6, 9, 3, 3, ]
 Site-USPS                          | Train Loss: 0.3482 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.3008 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.4799 | Train Acc: 0.8571
 Site-USPS                          | Train Loss: 0.4492 | Train Acc: 0.8947
 Site-USPS                          | Train Loss: 0.3640 | Train Acc: 0.9286
 Site-USPS                          | Train Loss: 0.4058 | Train Acc: 0.9206
 Site-USPS                          | Train Loss: 0.4649 | Train Acc: 0.9075
 Site-USPS                          | Train Loss: 0.4422 | Train Acc: 0.9120
 Site-USPS                          | Train Loss: 0.4422 | Train Acc: 0.9117
 Site-USPS                          | Train Loss: 0.4014 | Train Acc: 0.9155
 Site-MNIST                         | Train Loss: 0.6951 | Train Acc: 0.8000
 Site-MNIST                         | Train Loss: 0.5619 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.8620 | Train Acc: 0.7984
 Site-MNIST                         | Train Loss: 0.6602 | Train Acc: 0.8584
 Site-MNIST                         | Train Loss: 0.7516 | Train Acc: 0.8119
 Site-MNIST                         | Train Loss: 0.7393 | Train Acc: 0.8188
 Site-SynthDigits                   | Train Loss: 1.7715 | Train Acc: 0.4570
 Site-SynthDigits                   | Train Loss: 1.7275 | Train Acc: 0.3846
 Site-SynthDigits                   | Train Loss: 1.5880 | Train Acc: 0.4481
 Site-SVHN                          | Train Loss: 2.0744 | Train Acc: 0.2320
 Site-SVHN                          | Train Loss: 2.0411 | Train Acc: 0.3119
 Site-MNIST_M                       | Train Loss: 2.0149 | Train Acc: 0.3085
Average Train Accuracy: 0.7376
 Site-USPS                          | Val  Loss: 1.4563 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 0.9245 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 0.8571 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.4543 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4191 | Val  Acc: 0.9412
 Site-USPS                          | Val  Loss: 0.3576 | Val  Acc: 0.9355
 Site-USPS                          | Val  Loss: 0.3942 | Val  Acc: 0.8929
 Site-USPS                          | Val  Loss: 0.3794 | Val  Acc: 0.9216
 Site-USPS                          | Val  Loss: 0.4168 | Val  Acc: 0.9126
 Site-USPS                          | Val  Loss: 0.4247 | Val  Acc: 0.9063
 Site-MNIST                         | Val  Loss: 0.8517 | Val  Acc: 0.7000
 Site-MNIST                         | Val  Loss: 0.6683 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 0.6413 | Val  Acc: 0.8438
 Site-MNIST                         | Val  Loss: 0.7365 | Val  Acc: 0.8103
 Site-MNIST                         | Val  Loss: 0.6897 | Val  Acc: 0.8667
 Site-MNIST                         | Val  Loss: 0.6550 | Val  Acc: 0.8624
 Site-SynthDigits                   | Val  Loss: 1.7580 | Val  Acc: 0.4324
 Site-SynthDigits                   | Val  Loss: 1.6835 | Val  Acc: 0.3971
 Site-SynthDigits                   | Val  Loss: 1.6756 | Val  Acc: 0.4098
 Site-SVHN                          | Val  Loss: 1.9604 | Val  Acc: 0.3333
 Site-SVHN                          | Val  Loss: 1.9195 | Val  Acc: 0.2840
 Site-MNIST_M                       | Val  Loss: 2.2031 | Val  Acc: 0.2857
Average Valid Accuracy: 0.6809
 Best site-USPS                      | Epoch:5 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:5 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:5 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:5 | Val Acc: 1.0000
